start,end,count,Attacker,Victim,1,2,3,4
1226000,1226000,1,1,4,1.0,0.0,0.0,-1.0
1246000,1246000,1,1,2,2.0,-1.0,0.0,-1.0
1312000,1312000,1,3,4,2.0,-1.0,1.0,-2.0
1717000,1717000,1,4,3,2.5,-1.0,-0.5,-1.0
1720000,1720000,1,1,2,2.5,-1.0,-0.5,-1.0
1726000,1726000,1,1,4,2.5,-1.0,-0.5,-1.0
1754000,1754000,1,3,1,1.0,-2.0,2.5,-1.5
1758000,1758000,1,3,2,1.0,-3.5,3.5,-1.0
1777000,1777000,1,1,3,3.0,-3.5,1.5,-1.0
2102000,2102000,1,3,4,3.0,-3.333333333333333,2.0,-1.6666666666666665
2423000,2423000,1,3,1,2.333333333333333,-3.333333333333333,2.6666666666666665,-1.6666666666666667
2563000,2580000,3,1,3,3.666666666666666,-3.333333333333333,1.3333333333333335,-1.6666666666666665
2588000,2588000,1,1,4,3.666666666666666,-3.333333333333333,1.3333333333333335,-1.6666666666666665
2610000,2610000,1,1,3,3.857142857142857,-3.3333333333333335,1.1428571428571428,-1.6666666666666665
6856000,6856000,1,3,4,3.857142857142857,-3.25,1.3928571428571426,-2.0
8186000,8377000,2,3,1,3.2222222222222223,-3.25,2.0277777777777777,-2.0
8391000,8391000,1,3,4,3.2222222222222223,-3.2,2.1777777777777776,-2.2
9412000,9412000,1,1,2,3.2222222222222223,-3.2,2.1777777777777776,-2.2
11158000,11224000,4,3,4,3.222222222222222,-3.111111111111111,2.444444444444444,-2.555555555555556
11325000,11551000,3,3,1,2.6666666666666674,-3.111111111111111,3.000000000000001,-2.5555555555555554
16116000,16123000,2,1,2,2.6666666666666674,-3.111111111111111,3.000000000000001,-2.5555555555555554
16335000,16342000,2,1,3,3.0,-3.111111111111111,2.6666666666666665,-2.5555555555555554
16502000,16574000,2,1,2,3.0,-3.111111111111111,2.6666666666666665,-2.5555555555555554
16620000,16620000,1,1,3,3.1333333333333333,-3.111111111111111,2.5333333333333337,-2.5555555555555554
16716000,18463000,15,1,2,3.1333333333333333,-3.111111111111111,2.5333333333333337,-2.5555555555555554
19502000,19666000,2,3,1,2.882352941176471,-3.111111111111111,2.7843137254901964,-2.5555555555555554
19668000,19668000,1,3,2,2.882352941176471,-3.111111111111111,2.7843137254901964,-2.5555555555555554
19674000,19674000,1,3,1,2.777777777777778,-3.111111111111111,2.8888888888888897,-2.5555555555555554
20029000,20029000,1,1,3,2.8947368421052637,-3.111111111111111,2.7719298245614032,-2.5555555555555554
20037000,20047000,3,3,1,2.6363636363636367,-3.111111111111111,3.0303030303030303,-2.5555555555555554
20315000,20321000,2,1,2,2.6363636363636367,-3.111111111111111,3.0303030303030303,-2.5555555555555554
20358000,20435000,4,1,3,3.0,-3.111111111111111,2.6666666666666665,-2.5555555555555554
20437000,20437000,1,3,1,2.9259259259259256,-3.111111111111111,2.7407407407407405,-2.5555555555555554
20490000,20491000,2,1,3,3.0689655172413794,-3.111111111111111,2.5977011494252875,-2.5555555555555554
20496000,20499000,2,3,1,2.935483870967742,-3.111111111111111,2.7311827956989245,-2.5555555555555554
20545000,20545000,1,1,3,3.0,-3.111111111111111,2.6666666666666665,-2.5555555555555554
