count,intransitive,stateMatch,start,end,states,idxs
3,[],1,1020000,1139000,['12'],[1]
13,[],2,1367000,3822000,"['12', '13']",[2]
8,[],6,13836000,15412000,"['12', '13', '14']",[3]
2,[],16,18408000,18534000,"['12', '13', '14', '43']",[4]
13,[],28,18567000,19050000,"['12', '13', '14', '42', '43']",[5]
2,"[['14', '21', '42']]",34,19054000,19058000,"['13', '14', '21', '42', '43']",[6]
2,[],28,19061000,19067000,"['12', '13', '14', '42', '43']",[7]
1,"[['14', '21', '42']]",34,19068000,19068000,"['13', '14', '21', '42', '43']",[8]
2,[],28,19072000,19075000,"['12', '13', '14', '42', '43']",[9]
5,[],29,19078000,19325000,"['12', '13', '14', '24', '43']",[10]
9,[],38,19560000,22244000,"['12', '13', '14', '23', '24', '43']","[11, 12]"
1,"[['12', '23', '31']]",40,22247000,22247000,"['12', '13', '23', '24', '41', '43']",[13]
74,[],38,22277000,100516000,"['12', '13', '14', '23', '24', '43']","[14, 15, 16]"
3,"[['12', '23', '31']]",40,100567000,115251000,"['12', '13', '23', '24', '41', '43']",[17]
7,[],38,116289000,137045000,"['12', '13', '14', '23', '24', '43']","[18, 19]"
