count,intransitive,stateMatch,start,end,states,idxs
1,[],1,34983200,34983200,['12'],[1]
1,[],4,35035400,35035400,"['21', '31']",[2]
1,[],12,35107900,35107900,"['12', '13', '42']",[3]
1,[],22,35183700,35183700,"['21', '31', '41', '43']",[4]
1,"[['14', '21', '42']]",23,35199200,35199200,"['14', '21', '31', '43']",[5]
11,"[['14', '21', '42'], ['13', '21', '32']]",36,35206100,35646000,"['12', '13', '24', '34', '41']",[6]
1,"[['14', '21', '42'], ['13', '21', '32']]",41,35649700,35649700,"['12', '13', '24', '32', '41', '43']",[7]
1,"[['14', '21', '42']]",39,35659100,35659100,"['12', '13', '14', '24', '32', '43']",[8]
5,"[['14', '21', '42'], ['13', '21', '32']]",41,35699000,35916100,"['12', '13', '24', '32', '41', '43']",[9]
2,"[['13', '21', '32']]",40,35918900,35921000,"['12', '13', '23', '24', '41', '43']",[10]
4,[],38,36151300,36264200,"['12', '13', '14', '23', '24', '43']",[11]
17,"[['13', '21', '32']]",40,36462000,38807100,"['12', '13', '23', '24', '41', '43']",[12]
2,[],38,39355900,39590800,"['12', '13', '14', '23', '24', '43']",[13]
4,"[['13', '21', '32']]",40,39596500,39641000,"['12', '13', '23', '24', '41', '43']",[14]
282,[],38,39647100,146691100,"['12', '13', '14', '23', '24', '43']","[15, 16, 17, 18]"
8,"[['23', '34', '42']]",39,146742500,146967500,"['12', '13', '14', '24', '32', '43']",[19]
25,[],38,146987200,149183500,"['12', '13', '14', '23', '24', '43']",[20]
16,"[['23', '34', '42']]",39,149322900,150838700,"['12', '13', '14', '24', '32', '43']",[21]
