count,intransitive,stateMatch,start,end,states,idxs
1,[],1,126000,126000,['12'],[1]
1,[],3,134000,134000,"['12', '31']",[2]
1,[],2,142000,142000,"['12', '13']",[3]
1,[],10,147000,147000,"['12', '13', '23']",[4]
2,[],21,148000,159000,"['13', '21', '41', '43']",[5]
7,[],33,165000,310000,"['14', '21', '24', '31', '34']",[6]
30,[],38,319000,925000,"['12', '13', '14', '23', '24', '43']","[7, 8, 9, 10]"
3,"[['13', '21', '32']]",40,939000,952000,"['12', '13', '23', '24', '41', '43']",[11]
53,[],38,979000,1416000,"['12', '13', '14', '23', '24', '43']","[12, 13, 14, 15, 16, 17]"
1,"[['14', '21', '42'], ['13', '21', '32']]",41,1450000,1450000,"['12', '13', '24', '32', '41', '43']",[18]
2,"[['13', '21', '32']]",40,1514000,1549000,"['12', '13', '23', '24', '41', '43']",[19]
387,[],38,1568000,4651000,"['12', '13', '14', '23', '24', '43']","[20, 21, 22, 23, 24]"
13,"[['24', '32', '43']]",39,4659000,4763000,"['12', '13', '14', '24', '32', '43']",[25]
75,[],38,4811000,5499000,"['12', '13', '14', '23', '24', '43']","[26, 27, 28]"
6,"[['24', '32', '43']]",39,5501000,5529000,"['12', '13', '14', '24', '32', '43']",[29]
6,[],38,5548000,5607000,"['12', '13', '14', '23', '24', '43']",[30]
14,"[['24', '32', '43']]",39,5613000,5685000,"['12', '13', '14', '24', '32', '43']",[31]
1,[],38,5689000,5689000,"['12', '13', '14', '23', '24', '43']",[32]
22,"[['24', '32', '43']]",39,5689000,5826000,"['12', '13', '14', '24', '32', '43']",[33]
137,[],38,5828000,6570000,"['12', '13', '14', '23', '24', '43']","[34, 35, 36, 37]"
32,"[['23', '34', '42']]",39,6573000,6722000,"['12', '13', '14', '24', '32', '43']",[38]
130,[],38,6723000,7361000,"['12', '13', '14', '23', '24', '43']","[39, 40, 41, 42, 43]"
1,"[['12', '23', '31']]",40,7364000,7364000,"['12', '13', '23', '24', '41', '43']",[44]
71,[],38,7365000,7620000,"['12', '13', '14', '23', '24', '43']","[45, 46, 47, 48, 49]"
1,"[['13', '34', '41'], ['12', '24', '41']]",41,7627000,7627000,"['12', '13', '24', '32', '41', '43']",[50]
35,[],38,7628000,7752000,"['12', '13', '14', '23', '24', '43']","[51, 52]"
1,"[['24', '32', '43']]",39,7756000,7756000,"['12', '13', '14', '24', '32', '43']",[53]
105,[],38,7758000,8342000,"['12', '13', '14', '23', '24', '43']","[54, 55, 56, 57, 58, 59, 60, 61, 62]"
11,"[['24', '32', '43']]",39,8346000,8415000,"['12', '13', '14', '24', '32', '43']",[63]
22,[],38,8431000,8566000,"['12', '13', '14', '23', '24', '43']",[64]
7,"[['24', '32', '43']]",39,8575000,8632000,"['12', '13', '14', '24', '32', '43']",[65]
78,[],38,8633000,10861000,"['12', '13', '14', '23', '24', '43']","[66, 67, 68, 69]"
2,"[['12', '23', '31']]",40,10865000,11068000,"['12', '13', '23', '24', '41', '43']",[70]
537,[],38,11073000,14988000,"['12', '13', '14', '23', '24', '43']","[71, 72, 73, 74, 75, 76, 77, 78, 79]"
1,"[['12', '23', '31']]",40,14990000,14990000,"['12', '13', '23', '24', '41', '43']",[80]
1461,[],38,14991000,30130000,"['12', '13', '14', '23', '24', '43']","[81, 82, 83, 84, 85, 86, 87, 88, 89, 90, 91, 92]"
2,"[['13', '21', '32']]",40,30132000,30135000,"['12', '13', '23', '24', '41', '43']",[93]
572,[],38,30139000,34827000,"['12', '13', '14', '23', '24', '43']","[94, 95, 96]"
6,"[['13', '34', '41']]",39,86437000,86454000,"['12', '13', '14', '24', '32', '43']",[97]
10,[],38,86470000,86552000,"['12', '13', '14', '23', '24', '43']","[98, 99, 100]"
4,"[['13', '21', '32']]",40,86554000,86557000,"['12', '13', '23', '24', '41', '43']",[101]
121,[],38,86558000,87082000,"['12', '13', '14', '23', '24', '43']","[102, 103]"
11,"[['13', '34', '41'], ['12', '24', '41']]",41,87222000,87573000,"['12', '13', '24', '32', '41', '43']",[104]
13,"[['12', '24', '41']]",40,87576000,87972000,"['12', '13', '23', '24', '41', '43']",[105]
28,[],38,87974000,88159000,"['12', '13', '14', '23', '24', '43']",[106]
1,"[['12', '24', '41']]",40,88182000,88182000,"['12', '13', '23', '24', '41', '43']",[107]
1058,[],38,88186000,102673000,"['12', '13', '14', '23', '24', '43']","[108, 109, 110, 111, 112, 113, 114, 115, 116, 117, 118, 119, 120, 121, 122, 123, 124, 125, 126, 127, 128, 129, 130, 131, 132, 133, 134, 135, 136, 137, 138, 139, 140, 141, 142, 143]"
