count,intransitive,stateMatch,start,end,states,idxs
1,[],1,65000,65000,['12'],[1]
3,[],2,110000,120000,"['12', '13']",[2]
2,[],12,313000,314000,"['12', '13', '42']",[3]
8,[],24,323000,513000,"['12', '13', '42', '43']",[4]
2,[],26,644000,645000,"['12', '13', '24', '43']",[5]
3,[],25,663000,723000,"['12', '13', '24', '34']",[6]
3,[],31,724000,732000,"['13', '14', '21', '24', '43']",[7]
16,[],29,791000,1118000,"['12', '13', '14', '24', '43']",[8]
1,[],28,1148000,1148000,"['12', '13', '14', '42', '43']",[9]
5,[],38,1148000,1406000,"['12', '13', '14', '23', '24', '43']","[10, 11, 12]"
2,"[['23', '34', '42']]",39,1610000,1613000,"['12', '13', '14', '24', '32', '43']",[13]
11,[],38,1614000,2118000,"['12', '13', '14', '23', '24', '43']","[14, 15, 16]"
1,"[['12', '23', '31']]",40,2220000,2220000,"['12', '13', '23', '24', '41', '43']",[17]
1,"[['12', '23', '31'], ['23', '34', '42']]",41,2264000,2264000,"['12', '13', '24', '32', '41', '43']",[18]
6,"[['12', '23', '31']]",40,2272000,2341000,"['12', '13', '23', '24', '41', '43']",[19]
37,[],38,2343000,3964000,"['12', '13', '14', '23', '24', '43']",[20]
1,"[['14', '31', '43'], ['24', '32', '43']]",41,3964000,3964000,"['12', '13', '24', '32', '41', '43']",[21]
32,[],38,3965000,4694000,"['12', '13', '14', '23', '24', '43']","[22, 23, 24, 25, 26, 27, 28, 29]"
1,"[['14', '31', '43'], ['24', '32', '43']]",41,5056000,5056000,"['12', '13', '24', '32', '41', '43']",[30]
97,[],38,5058000,7412000,"['12', '13', '14', '23', '24', '43']","[31, 32, 33, 34, 35, 36, 37, 38]"
1,"[['12', '23', '31']]",40,7418000,7418000,"['12', '13', '23', '24', '41', '43']",[39]
154,[],38,7419000,9642000,"['12', '13', '14', '23', '24', '43']","[40, 41, 42, 43, 44, 45, 46, 47, 48, 49]"
8,"[['13', '21', '32']]",40,9655000,9680000,"['12', '13', '23', '24', '41', '43']",[50]
197,[],38,9681000,11201000,"['12', '13', '14', '23', '24', '43']","[51, 52, 53, 54, 55, 56, 57, 58]"
1,"[['23', '34', '42']]",39,11204000,11204000,"['12', '13', '14', '24', '32', '43']",[59]
301,[],38,11205000,21325000,"['12', '13', '14', '23', '24', '43']","[60, 61, 62, 63, 64, 65, 66, 67]"
2,"[['24', '32', '43']]",39,21328000,21331000,"['12', '13', '14', '24', '32', '43']",[68]
1,[],38,21333000,21333000,"['12', '13', '14', '23', '24', '43']",[69]
1,"[['24', '32', '43']]",39,21333000,21333000,"['12', '13', '14', '24', '32', '43']",[70]
16,[],38,21334000,87219000,"['12', '13', '14', '23', '24', '43']","[71, 72]"
1,"[['12', '23', '31']]",40,87923000,87923000,"['12', '13', '23', '24', '41', '43']",[73]
1,[],38,87923000,87923000,"['12', '13', '14', '23', '24', '43']",[74]
1,"[['12', '23', '31']]",40,88033000,88033000,"['12', '13', '23', '24', '41', '43']",[75]
3,"[['12', '23', '31'], ['12', '24', '41']]",41,88145000,88430000,"['12', '13', '24', '32', '41', '43']","[76, 77]"
28,[],38,88433000,89611000,"['12', '13', '14', '23', '24', '43']","[78, 79, 80, 81, 82, 83]"
1,"[['13', '21', '32']]",40,89636000,89636000,"['12', '13', '23', '24', '41', '43']",[84]
15,[],38,89674000,90351000,"['12', '13', '14', '23', '24', '43']","[85, 86]"
1,"[['23', '34', '42']]",39,90443000,90443000,"['12', '13', '14', '24', '32', '43']",[87]
36,[],38,90444000,92284000,"['12', '13', '14', '23', '24', '43']","[88, 89]"
1,"[['13', '21', '32']]",40,92311000,92311000,"['12', '13', '23', '24', '41', '43']",[90]
119,[],38,92485000,94433000,"['12', '13', '14', '23', '24', '43']","[91, 92, 93, 94, 95, 96, 97, 98, 99, 100]"
7,"[['14', '31', '43']]",39,94450000,94534000,"['12', '13', '14', '24', '32', '43']",[101]
1,"[['14', '31', '43'], ['14', '21', '42']]",41,94587000,94587000,"['12', '13', '24', '32', '41', '43']",[102]
2,"[['14', '31', '43']]",39,94595000,94596000,"['12', '13', '14', '24', '32', '43']",[103]
695,[],38,94605000,99456000,"['12', '13', '14', '23', '24', '43']","[104, 105, 106, 107, 108, 109, 110, 111, 112]"
1,"[['23', '34', '42']]",39,99479000,99479000,"['12', '13', '14', '24', '32', '43']",[113]
1187,[],38,99480000,104939000,"['12', '13', '14', '23', '24', '43']","[114, 115, 116, 117, 118, 119, 120, 121, 122, 123]"
1,"[['14', '21', '42'], ['13', '21', '32']]",41,104941000,104941000,"['12', '13', '24', '32', '41', '43']",[124]
506,[],38,104942000,107736000,"['12', '13', '14', '23', '24', '43']","[125, 126, 127, 128, 129, 130, 131]"
