Species,Group,# Interaction,# Reversals,% Reversals,# States,# State Variants,# State Unique,# Triads,# Linear States,# Non-Linear States,% Linear States,% Non-Linear States,# Linear Interactions,# Non-Linear Interactions,% Linear Interactions,% Non-Linear Interactions,# Interactions / State,# Interactions / Linear State,# Interactions / Non-Linear State
Mice,2,137,14,10.218978102189782,20,10,9,0,1,19,5,95,6,131,4.37956204379562,95.62043795620438,6.85,6,6.894736842105263
Mice,3,335,32,9.552238805970148,38,10,8,5,22,16,57.89473684210526,42.10526315789474,218,117,65.07462686567165,34.92537313432836,8.81578947368421,9.909090909090908,7.3125
Mice,4,894,22,2.460850111856823,28,14,9,3,18,10,64.28571428571429,35.714285714285715,772,122,86.35346756152126,13.646532438478747,31.928571428571427,42.888888888888886,12.2
Mice,5,496,57,11.491935483870968,63,16,10,10,39,24,61.904761904761905,38.095238095238095,342,154,68.95161290322581,31.048387096774192,7.873015873015873,8.76923076923077,6.416666666666667
Mice,6,788,21,2.66497461928934,27,17,10,5,10,17,37.03703703703704,62.96296296296296,542,246,68.78172588832487,31.218274111675125,29.185185185185187,54.2,14.470588235294118
Mice,7,364,2,0.5494505494505495,8,7,7,1,1,7,12.5,87.5,29,335,7.967032967032967,92.03296703296704,45.5,29,47.857142857142854
Mice,8,246,35,14.227642276422765,41,18,11,4,8,33,19.51219512195122,80.48780487804878,118,128,47.96747967479675,52.03252032520325,6,14.75,3.878787878787879
Mice,9,364,62,17.032967032967033,68,16,9,4,55,13,80.88235294117646,19.11764705882353,265,99,72.8021978021978,27.197802197802197,5.352941176470588,4.818181818181818,7.615384615384615
Presidents,1,85,30,35.294117647058826,34,14,7,5,0,34,0,100,0,85,0,100,2.5,0,2.5
Presidents,2,111,62,55.85585585585586,66,14,7,16,0,66,0,100,0,111,0,100,1.6818181818181819,0,1.6818181818181819
