count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
3,43,null,[],38,8,345000,363000,"['21', '23', '14', '24', '13', '43']","[1, 1, 0, 1]","[0, 0, 3, 0]","[0, 1, 0, 0, 1, 1]","[2.761403508771929, 2.596491228070174, -4.533333333333333, -0.824561403508772]"
1,32,32,"[['24', '32', '43'], ['13', '21', '32']]",41,5,373000,373000,"['21', '32', '14', '24', '13', '43']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0, 0]","[2.7614035087719286, 2.1203007518796992, -4.057142857142857, -0.8245614035087718]"
2,42,42,"[['14', '21', '42'], ['13', '21', '32']]",41,22,374000,389000,"['21', '32', '14', '42', '13', '43']","[0, 0, 1, 1]","[0, 2, 0, 0]","[0, 1, 0, 1, 0, 0]","[2.761403508771929, 1.6052631578947363, -3.7, -0.666666666666667]"
1,41,41,"[['13', '21', '32']]",39,6,419000,419000,"['21', '32', '41', '42', '13', '43']","[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[2.479352226720648, 1.6052631578947367, -3.7, -0.384615384615385]"
1,12,12,[],38,12,434000,434000,"['12', '32', '41', '42', '13', '43']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]","[2.5846153846153843, 1.5000000000000004, -3.7, -0.3846153846153846]"
2,21,21,"[['13', '21', '32']]",39,6,438000,439000,"['21', '32', '41', '42', '13', '43']","[0, 2, 0, 0]","[2, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[2.4027972027972027, 1.6818181818181817, -3.7, -0.384615384615385]"
1,24,24,"[['24', '32', '43'], ['13', '21', '32']]",41,18,440000,440000,"['21', '32', '41', '24', '13', '43']","[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1, 0, 0]","[2.402797202797202, 1.7294372294372289, -3.7, -0.4322344322344325]"
2,12,12,"[['12', '24', '41'], ['24', '32', '43']]",41,1,483000,491000,"['12', '32', '41', '24', '13', '43']","[1, 0, 0, 1]","[0, 1, 1, 0]","[1, 0, 0, 0, 0, 1]","[2.4976588628762544, 1.6345755693581774, -3.7, -0.43223443223443203]"
1,42,42,[],38,12,503000,503000,"['12', '32', '41', '42', '13', '43']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 1, 0, 0]","[2.497658862876254, 1.496047430830039, -3.7, -0.2937062937062933]"
5,31,31,[],38,18,571000,1470000,"['12', '32', '41', '42', '31', '43']","[1, 0, 1, 3]","[2, 3, 0, 0]","[1, 0, 1, 2, 1, 0]","[1.8095238095238089, 1.166666666666667, -3.1666666666666665, 0.19047619047619047]"
1,24,24,"[['12', '24', '41'], ['24', '32', '43']]",41,15,1485000,1485000,"['12', '32', '41', '24', '31', '43']","[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 1, 0, 0]","[1.8095238095238098, 1.2199999999999993, -3.1666666666666665, 0.137142857142857]"
2,14,14,"[['14', '31', '43'], ['24', '32', '43']]",41,4,1495000,1593000,"['12', '32', '14', '24', '31', '43']","[1, 1, 0, 0]","[0, 0, 0, 2]","[0, 0, 1, 1, 0, 0]","[1.8666666666666667, 1.2692307692307694, -3.166666666666667, 0.030769230769230438]"
9,21,21,"[['14', '31', '43'], ['24', '32', '43']]",41,14,1949000,2169000,"['21', '32', '14', '24', '31', '43']","[1, 8, 0, 0]","[5, 0, 0, 4]","[5, 0, 1, 3, 0, 0]","[1.5718390804597704, 1.7413793103448274, -3.166666666666667, -0.1465517241379306]"
4,34,34,[],38,15,2186000,2485000,"['21', '32', '14', '24', '31', '34']","[0, 0, 4, 0]","[0, 0, 0, 4]","[0, 0, 0, 0, 0, 4]","[1.5718390804597704, 1.7413793103448274, -0.4999999999999998, -2.813218390804597]"
8,23,23,[],38,13,2573000,2706000,"['21', '23', '14', '24', '31', '34']","[0, 8, 0, 0]","[1, 0, 2, 5]","[1, 2, 0, 5, 0, 0]","[1.516666666666666, 2.2588235294117642, -0.8, -2.975490196078431]"
