start,end,count,Attacker,Victim,1,2,3,4
32643100,32647600,2,1,2,1.0,-1.0,0.0,0.0
32784200,32784200,1,1,3,2.0,-1.0,-1.0,0.0
33029900,33029900,1,2,4,3.0,0.0,-1.0,-2.0
33042400,33056900,2,2,3,4.0,1.0,-3.0,-2.0
33177700,33177700,1,1,4,5.0,1.0,-3.0,-3.0
33261700,33384400,2,1,3,5.0,1.0,-3.0,-3.0
33403600,33403600,1,1,4,5.0,1.0,-3.0,-3.0
33421300,33421300,1,1,2,5.0,1.0,-3.0,-3.0
33429000,33429000,1,1,4,5.0,1.0,-3.0,-3.0
33465000,33709800,6,2,4,5.0,1.0,-3.0,-3.0
33985000,34111700,2,2,3,5.0,1.0,-3.0,-3.0
34118600,34197900,2,1,3,5.0,1.0,-3.0,-3.0
34254300,34254300,1,1,4,5.0,1.0,-3.0,-3.0
34405400,34405400,1,1,2,5.0,1.0,-3.0,-3.0
34507400,34507400,1,1,3,5.0,1.0,-3.0,-3.0
34591400,34591400,1,1,2,5.0,1.0,-3.0,-3.0
34626700,34651800,5,2,4,5.0,1.0,-3.0,-3.0
35146300,35302200,9,2,3,5.0,1.0,-3.0,-3.0
35336300,35439700,5,2,4,5.0,1.0,-3.0,-3.0
35700600,35700600,1,2,3,5.0,1.0,-3.0,-3.0
37294200,37294200,1,1,2,5.0,1.0,-3.0,-3.0
37405700,37445000,6,2,4,5.0,1.0,-3.0,-3.0
37709300,37709300,1,1,4,5.0,1.0,-3.0,-3.0
37733400,38758700,16,2,3,5.0,1.0,-3.0,-3.0
41538600,41540200,2,1,2,5.0,1.0,-3.0,-3.0
41560800,41560800,1,1,4,5.0,1.0,-3.0,-3.0
41579800,41582300,2,2,4,5.0,1.0,-3.0,-3.0
42048600,42048600,1,1,3,5.0,1.0,-3.0,-3.0
42996600,43048700,6,2,4,5.0,1.0,-3.0,-3.0
44538800,44538800,1,1,2,5.0,1.0,-3.0,-3.0
44689500,47081100,8,2,3,5.0,1.0,-3.0,-3.0
47977200,47977200,1,1,2,5.0,1.0,-3.0,-3.0
49314200,49610200,3,1,3,5.0,1.0,-3.0,-3.0
50068200,50076800,3,1,4,5.0,1.0,-3.0,-3.0
50080500,50238700,5,2,4,5.0,1.0,-3.0,-3.0
50291200,50291200,1,1,4,5.0,1.0,-3.0,-3.0
50375100,50375100,1,2,3,5.0,1.0,-3.0,-3.0
50579400,50582300,2,1,3,5.0,1.0,-3.0,-3.0
50839900,50839900,1,1,2,5.0,1.0,-3.0,-3.0
50893800,50897500,2,1,4,5.0,1.0,-3.0,-3.0
50956800,50956800,1,2,4,5.0,1.0,-3.0,-3.0
50965200,51075900,4,1,4,5.0,1.0,-3.0,-3.0
51077500,51097100,2,2,4,5.0,1.0,-3.0,-3.0
51257500,51257500,1,1,4,5.0,1.0,-3.0,-3.0
51268600,51351900,3,2,4,5.0,1.0,-3.0,-3.0
51353500,51353500,1,1,4,5.0,1.0,-3.0,-3.0
51381100,51381100,1,2,4,5.0,1.0,-3.0,-3.0
51464600,51899600,4,1,4,5.0,1.0,-3.0,-3.0
51900900,51948300,5,2,4,5.0,1.0,-3.0,-3.0
51987100,51987100,1,1,3,5.0,1.0,-3.0,-3.0
52021000,52021000,1,1,2,5.0,1.0,-3.0,-3.0
52108200,52109700,2,1,4,5.0,1.0,-3.0,-3.0
52159500,52159500,1,1,2,5.0,1.0,-3.0,-3.0
52300100,52318200,3,1,3,5.0,1.0,-3.0,-3.0
52335500,52339300,3,2,3,5.0,1.0,-3.0,-3.0
52441700,52443600,2,1,3,5.0,1.0,-3.0,-3.0
52444600,52444600,1,2,3,5.0,1.0,-3.0,-3.0
52511400,52511400,1,1,3,5.0,1.0,-3.0,-3.0
52522300,52522300,1,1,2,5.0,1.0,-3.0,-3.0
52648700,52648700,1,2,3,5.0,1.0,-3.0,-3.0
52659500,52659500,1,1,3,5.0,1.0,-3.0,-3.0
52678800,52683600,2,2,3,5.0,1.0,-3.0,-3.0
53293700,53293700,1,1,4,5.0,1.0,-3.0,-3.0
53683900,53683900,1,1,2,5.0,1.0,-3.0,-3.0
120642700,120818800,3,3,2,5.0,0.8163265306122449,-2.7551020408163267,-3.0612244897959187
120875100,121164000,2,1,2,5.0,0.8163265306122449,-2.7551020408163267,-3.0612244897959187
121310200,121310200,1,3,2,5.0,0.7599999999999998,-2.68,-3.08
121315000,121315000,1,1,4,5.0,0.7599999999999998,-2.68,-3.08
121478800,121478800,1,3,2,5.0,0.7058823529411763,-2.607843137254902,-3.0980392156862746
121571400,121571400,1,1,2,5.0,0.7058823529411763,-2.607843137254902,-3.0980392156862746
121870400,121870400,1,1,3,5.0,0.7058823529411763,-2.607843137254902,-3.0980392156862746
122109500,122109500,1,1,4,5.0,0.7058823529411763,-2.607843137254902,-3.0980392156862746
123372400,123372400,1,3,2,5.0,0.6538461538461537,-2.5384615384615383,-3.1153846153846154
123679800,123696700,2,2,4,5.0,0.6538461538461537,-2.5384615384615383,-3.1153846153846154
123701700,123701700,1,1,4,5.0,0.6538461538461537,-2.5384615384615383,-3.1153846153846154
123837900,123837900,1,1,3,5.0,0.6538461538461537,-2.5384615384615383,-3.1153846153846154
124075300,124107600,2,3,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
124109200,124109200,1,1,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
124112400,124783900,5,3,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
124877600,124889300,2,2,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
124906400,124906400,1,3,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
124910500,124910500,1,2,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
124921900,124921900,1,1,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
124933300,124935100,3,2,4,6.0,1.5384615384615383,-1.5384615384615383,-6.0
125145100,125145100,1,3,2,6.0,1.471698113207547,-1.4716981132075473,-6.0
125553400,125553400,1,1,2,6.0,1.471698113207547,-1.4716981132075473,-6.0
125740100,125744900,2,3,4,6.0,1.471698113207547,-1.4716981132075473,-6.0
127485800,127485800,1,2,4,6.0,1.471698113207547,-1.4716981132075473,-6.0
128036300,128036300,1,1,4,6.0,1.471698113207547,-1.4716981132075473,-6.0
128049500,128049500,1,2,4,6.0,1.471698113207547,-1.4716981132075473,-6.0
128182600,128182600,1,3,4,6.0,1.471698113207547,-1.4716981132075473,-6.0
128188900,128188900,1,3,2,6.0,1.4074074074074074,-1.4074074074074074,-6.0
128273400,128273400,1,1,4,6.0,1.4074074074074074,-1.4074074074074074,-6.0
128681200,128683700,2,3,2,6.0,1.2857142857142856,-1.2857142857142856,-6.0
129310400,129310400,1,1,4,6.0,1.2857142857142856,-1.2857142857142856,-6.0
129328400,129333800,2,2,4,6.0,1.2857142857142856,-1.2857142857142856,-6.0
129378400,129380300,2,3,4,6.0,1.2857142857142856,-1.2857142857142856,-6.0
129382800,129387800,4,2,4,6.0,1.2857142857142856,-1.2857142857142856,-6.0
129416100,129429300,2,3,4,6.0,1.2857142857142856,-1.2857142857142856,-6.0
129517200,129517200,1,3,2,6.0,1.228070175438596,-1.2280701754385963,-6.0
129746500,129746500,1,1,4,6.0,1.228070175438596,-1.2280701754385963,-6.0
129749200,129753800,2,2,4,6.0,1.228070175438596,-1.2280701754385963,-6.0
129916000,129916000,1,3,2,6.0,1.1724137931034482,-1.1724137931034484,-6.0
129946500,129946500,1,3,4,6.0,1.1724137931034482,-1.1724137931034484,-6.0
130213300,130213300,1,2,4,6.0,1.1724137931034482,-1.1724137931034484,-6.0
130235300,130235300,1,1,4,6.0,1.1724137931034482,-1.1724137931034484,-6.0
130309200,130360900,2,3,2,6.0,1.0666666666666669,-1.0666666666666667,-6.0
130405500,130405500,1,3,4,6.0,1.0666666666666669,-1.0666666666666667,-6.0
130408400,130408400,1,1,4,6.0,1.0666666666666669,-1.0666666666666667,-6.0
130409700,130409700,1,3,4,6.0,1.0666666666666669,-1.0666666666666667,-6.0
130494600,130494600,1,1,3,6.0,1.0666666666666669,-1.0666666666666667,-6.0
131283300,131283300,1,3,2,6.0,1.0163934426229508,-1.0163934426229506,-6.0
131714900,131714900,1,1,4,6.0,1.0163934426229508,-1.0163934426229506,-6.0
131793800,131808200,3,2,4,6.0,1.0163934426229508,-1.0163934426229506,-6.0
131962600,132008700,2,1,4,6.0,1.0163934426229508,-1.0163934426229506,-6.0
132071500,133041400,3,3,2,6.0,0.875,-0.875,-6.0
133138400,133167100,2,1,3,6.0,0.875,-0.875,-6.0
133219800,134128400,8,3,2,6.0,0.5555555555555551,-0.5555555555555554,-6.0
134428800,134435500,2,1,3,6.0,0.5555555555555551,-0.5555555555555554,-6.0
134579400,134579400,1,3,2,6.0,0.5205479452054795,-0.5205479452054794,-6.0
135906200,135906200,1,1,2,6.0,0.5205479452054795,-0.5205479452054794,-6.0
136280500,136280500,1,3,4,6.0,0.5205479452054795,-0.5205479452054794,-6.0
136283200,136285700,2,1,4,6.0,0.5205479452054795,-0.5205479452054794,-6.0
136490700,136490700,1,1,2,6.0,0.5205479452054795,-0.5205479452054794,-6.0
136537800,136537800,1,1,4,6.0,0.5205479452054795,-0.5205479452054794,-6.0
136725600,136725600,1,2,4,6.0,0.5205479452054795,-0.5205479452054794,-6.0
136847500,136883300,2,3,2,6.0,0.4533333333333335,-0.45333333333333337,-6.0
136932400,136961900,4,1,2,6.0,0.4533333333333335,-0.45333333333333337,-6.0
137031900,137031900,1,1,3,6.0,0.4533333333333335,-0.45333333333333337,-6.0
137154900,137154900,1,1,2,6.0,0.4533333333333335,-0.45333333333333337,-6.0
137449600,137457500,2,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
137537300,137537300,1,1,2,6.0,0.4533333333333335,-0.45333333333333337,-6.0
137542600,137546300,2,1,3,6.0,0.4533333333333335,-0.45333333333333337,-6.0
137967700,137967700,1,2,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
137973300,138028000,3,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138063900,138063900,1,3,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138071300,138071300,1,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138185900,138185900,1,1,2,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138251600,138251600,1,3,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138252900,138252900,1,2,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138254200,138341100,2,3,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138344600,138344600,1,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138366800,138386200,4,2,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138388500,138476300,2,3,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138693200,138833500,3,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
138980700,138980700,1,3,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139033900,139070000,2,1,3,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139277200,139280200,2,3,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139284000,139284000,1,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139489400,139489400,1,1,3,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139545900,139562400,2,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139563600,139578900,2,2,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139581900,139584700,2,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139585900,139585900,1,2,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139662200,139662200,1,3,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139668500,139922800,2,1,4,6.0,0.4533333333333335,-0.45333333333333337,-6.0
139941800,139941800,1,4,2,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
140037100,140037100,1,1,4,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
140038300,140038300,1,3,4,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
140041000,140106500,4,1,4,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
140309700,140309700,1,1,3,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
140578500,140578500,1,3,4,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
140984300,140988100,2,1,3,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
141105400,141105400,1,1,2,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
141177400,141177400,1,1,3,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
141299700,141301900,2,3,4,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
141669100,141669100,1,1,4,6.0,0.40395061728395065,-0.45333333333333314,-5.950617283950617
141931300,141931300,1,2,4,6.0,0.40455284552845516,-0.45333333333333303,-5.951219512195122
142009900,142009900,1,1,4,6.0,0.40455284552845516,-0.45333333333333303,-5.951219512195122
142038300,142038300,1,1,3,6.0,0.40455284552845516,-0.45333333333333303,-5.951219512195122
142094500,142094500,1,2,4,6.0,0.4051405622489961,-0.45333333333333325,-5.951807228915662
