count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
8,12,12,[],29,2,26699000,26930000,"['14', '12', '34', '13', '23']","[1, 7, 0, 0]","[0, 1, 7, 0]","[0, 1, 0, 0, 7]","[2.7428571428571424, 0.7519480519480523, 0.10227272727272729, -3.597077922077922]"
4,21,21,[],31,2,26937000,27289000,"['14', '21', '34', '13', '23']","[0, 4, 0, 0]","[4, 0, 0, 0]","[0, 4, 0, 0, 0]","[2.461538461538461, 1.1270396270396268, 0.10227272727272729, -3.690850815850816]"
1,32,32,"[['13', '21', '32']]",34,2,27345000,27345000,"['14', '21', '34', '13', '32']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 1]","[2.461538461538461, 0.9870396270396267, 0.2072727272727275, -3.655850815850816]"
4,23,23,[],31,2,27352000,27963000,"['14', '21', '34', '13', '23']","[2, 2, 0, 0]","[0, 0, 3, 1]","[1, 0, 0, 1, 2]","[2.508050089445438, 1.0344470344470347, 0.12520554381019444, -3.6677026677026676]"
90,24,null,[],38,7,30768000,39510000,"['14', '21', '34', '13', '23', '24']","[58, 32, 0, 0]","[6, 0, 21, 63]","[57, 6, 0, 1, 20, 6]","[2.935353535353535, 2.8151300236406622, -0.11411992263056092, -5.636363636363637]"
2,12,12,[],38,1,39512000,39734000,"['14', '12', '34', '13', '23', '24']","[2, 0, 0, 0]","[0, 1, 0, 1]","[1, 1, 0, 0, 0, 0]","[2.9604743083003946, 2.790009250693802, -0.11411992263056092, -5.636363636363637]"
1,42,42,"[['23', '34', '42']]",39,2,45349000,45349000,"['14', '12', '34', '13', '23', '42']","[0, 0, 0, 1]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 1]","[2.9604743083003946, 2.2185806792652305, -0.11411992263056092, -5.0649350649350655]"
3,24,24,[],38,1,45815000,45912000,"['14', '12', '34', '13', '23', '24']","[0, 3, 0, 0]","[0, 0, 0, 3]","[0, 0, 0, 0, 0, 3]","[2.9604743083003946, 2.3900092506938027, -0.11411992263056092, -5.236363636363636]"
4,43,43,[],38,2,91957000,104178000,"['14', '12', '43', '13', '23', '24']","[0, 0, 0, 4]","[0, 0, 4, 0]","[0, 0, 4, 0, 0, 0]","[2.9604743083003946, 2.3900092506938027, -1.0838168923275309, -4.266666666666667]"
6,42,42,[],38,4,104188000,115672000,"['14', '12', '43', '13', '23', '42']","[1, 3, 0, 2]","[0, 1, 5, 0]","[0, 0, 1, 1, 3, 1]","[3.0028985507246375, 2.0831620553359684, -1.3133333333333328, -3.7727272727272734]"
2,24,24,[],38,2,117152000,117870000,"['14', '12', '43', '13', '23', '24']","[0, 2, 0, 0]","[0, 0, 1, 1]","[0, 0, 0, 0, 1, 1]","[3.002898550724638, 2.15004262574595, -1.3196078431372544, -3.8333333333333335]"
1,21,21,[],38,8,117910000,117910000,"['14', '21', '43', '13', '23', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[2.941843971631206, 2.2110972048393833, -1.3196078431372553, -3.8333333333333335]"
10,12,12,[],38,2,120724000,170237000,"['14', '12', '43', '13', '23', '24']","[5, 1, 0, 4]","[0, 4, 4, 2]","[1, 4, 4, 0, 0, 1]","[3.035294117647059, 2.16892911010558, -1.8196078431372544, -3.384615384615385]"
