count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,42,null,[],1,10,75000,75000,['42'],"[0, 0, 0, 1]","[0, 1, 0, 0]",[1],"[0.0, -1.0, 0.0, 1.0]"
1,31,null,[],5,11,75000,75000,"['42', '31']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 1]","[-1.0, -1.0, 1.0, 1.0]"
1,12,null,[],13,1,79000,79000,"['42', '31', '12']","[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 1]","[0.0, -3.0, 2.0, 1.0]"
4,14,null,[],20,3,82000,136000,"['42', '31', '12', '14']","[1, 0, 2, 1]","[2, 1, 0, 1]","[1, 2, 0, 1]","[2.0, -4.0, 3.0, -1.0]"
9,13,13,[],16,3,145000,243000,"['42', '13', '12', '14']","[9, 0, 0, 0]","[0, 2, 7, 0]","[0, 7, 2, 0]","[3.4000000000000004, -3.3, 0.20000000000000015, -0.3]"
8,31,31,[],20,3,247000,324000,"['42', '31', '12', '14']","[7, 0, 1, 0]","[1, 5, 0, 2]","[0, 1, 5, 2]","[3.2727272727272725, -3.3636363636363638, 0.4545454545454546, -0.36363636363636365]"
4,13,13,[],16,3,328000,345000,"['42', '13', '12', '14']","[4, 0, 0, 0]","[0, 2, 2, 0]","[0, 2, 2, 0]","[3.384615384615385, -3.3076923076923075, 0.2307692307692308, -0.3076923076923077]"
1,21,21,"[['14', '21', '42']]",19,3,352000,352000,"['42', '13', '21', '14']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]","[3.1118881118881117, -2.944055944055944, 0.13986013986013995, -0.3076923076923078]"
4,12,12,[],16,3,364000,393000,"['42', '13', '12', '14']","[3, 0, 0, 1]","[0, 3, 1, 0]","[1, 1, 2, 0]","[3.197802197802198, -2.978021978021978, 0.06593406593406587, -0.28571428571428575]"
4,24,24,[],16,5,393000,414000,"['24', '13', '12', '14']","[2, 2, 0, 0]","[0, 0, 2, 2]","[2, 2, 0, 0]","[3.269230769230769, -1.7423076923076923, -0.07692307692307687, -1.45]"
1,42,42,[],16,3,415000,415000,"['42', '13', '12', '14']","[0, 0, 0, 1]","[0, 1, 0, 0]","[1, 0, 0, 0]","[3.269230769230769, -1.9423076923076925, -0.07692307692307687, -1.25]"
1,43,null,[],28,1,415000,415000,"['42', '13', '12', '14', '43']","[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 0, 1]","[4.019230769230769, -1.608974358974359, -2.41025641025641, -2.220446049250313e-16]"
2,32,null,[],38,6,417000,419000,"['42', '13', '12', '14', '43', '32']","[0, 0, 2, 0]","[0, 2, 0, 0]","[0, 0, 0, 0, 0, 2]","[4.6923076923076925, -4.3589743589743595, -1.0, 0.6666666666666665]"
2,34,34,[],38,5,427000,430000,"['42', '13', '12', '14', '34', '32']","[0, 0, 2, 0]","[0, 0, 0, 2]","[0, 0, 0, 0, 2, 0]","[4.692307692307693, -4.3589743589743595, 1.666666666666666, -2.0]"
2,31,31,[],38,11,432000,436000,"['42', '31', '12', '14', '34', '32']","[0, 0, 2, 0]","[1, 1, 0, 0]","[0, 1, 0, 0, 0, 1]","[4.515837104072397, -4.3589743589743595, 1.8431372549019611, -2.0]"
