start,end,count,Attacker,Victim,1,2,3,4
1012000,1048000,4,2,1,-1.0,1.0,0.0,0.0
1394000,1394000,1,1,3,0.0,2.0,-2.0,0.0
1424000,2437000,3,1,2,0.8571428571428573,0.7142857142857143,-1.5714285714285714,0.0
2463000,2463000,1,1,4,1.857142857142857,1.2857142857142856,-1.5714285714285714,-1.5714285714285714
2470000,2470000,1,2,4,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2487000,2497000,4,1,4,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
2550000,2560000,3,1,3,2.285714285714286,2.285714285714286,-1.5714285714285714,-3.0
3234000,3234000,1,1,2,2.5,2.0,-1.5,-3.0
3250000,3250000,1,2,1,2.333333333333333,2.2222222222222223,-1.5555555555555556,-3.0
3284000,3297000,3,1,3,2.333333333333333,2.2222222222222223,-1.5555555555555556,-3.0
3309000,3309000,1,2,1,2.2,2.4000000000000004,-1.6,-3.0
3321000,3321000,1,1,3,2.2,2.4000000000000004,-1.6,-3.0
3340000,3351000,2,2,1,1.9999999999999996,2.666666666666666,-1.6666666666666665,-3.0
3352000,3352000,1,1,3,1.9999999999999996,2.666666666666666,-1.6666666666666665,-3.0
3357000,3374000,2,2,1,1.857142857142857,2.8571428571428577,-1.7142857142857144,-3.0
3381000,3381000,1,2,3,2.1428571428571423,3.8571428571428577,-3.0,-3.0
3387000,3985000,7,1,2,3.095238095238095,2.9047619047619047,-3.0,-3.0
3997000,3997000,1,2,1,3.0,3.0,-3.0,-3.0
5481000,5578000,11,2,3,3.0,3.0,-3.0,-3.0
5599000,5599000,1,3,4,4.0,4.0,-2.0,-6.0
5643000,5643000,1,1,4,4.0,4.0,-2.0,-6.0
5790000,5798000,2,1,3,4.0,4.0,-2.0,-6.0
5812000,5812000,1,1,2,4.08695652173913,3.9130434782608696,-2.0,-6.0
5841000,5841000,1,1,3,4.08695652173913,3.9130434782608696,-2.0,-6.0
5843000,5843000,1,3,1,3.7792642140468224,3.9130434782608696,-1.6923076923076925,-6.0
5847000,5847000,1,1,3,3.801242236024845,3.913043478260869,-1.7142857142857144,-6.0
5848000,5849000,2,2,1,3.6342857142857143,4.079999999999999,-1.7142857142857144,-6.0
5851000,5857000,3,1,3,3.684705882352941,4.08,-1.7647058823529411,-6.0
5859000,5859000,1,2,1,3.610859728506787,4.153846153846153,-1.7647058823529413,-6.0
5864000,5864000,1,2,3,3.610859728506787,4.153846153846153,-1.7647058823529413,-6.0
5868000,5868000,1,2,1,3.5424836601307184,4.222222222222221,-1.7647058823529413,-6.0
5873000,5873000,1,1,3,3.555555555555555,4.222222222222221,-1.7777777777777777,-6.0
5877000,5877000,1,1,2,3.634920634920634,4.142857142857143,-1.777777777777778,-6.0
5899000,5899000,1,2,1,3.5708812260536402,4.206896551724139,-1.7777777777777777,-6.0
6158000,6158000,1,3,2,3.5708812260536402,3.9211822660098514,-1.492063492063492,-6.0
6164000,6164000,1,2,3,3.57088122605364,3.9402298850574717,-1.511111111111111,-6.0
6167000,6167000,1,1,3,3.582577132486388,3.9402298850574704,-1.5228070175438595,-6.0
6170000,6170000,1,3,4,3.582577132486388,3.9402298850574704,-1.5228070175438595,-6.0
6174000,6174000,1,1,3,3.593103448275862,3.940229885057471,-1.5333333333333332,-6.0
6181000,6181000,1,2,3,3.593103448275862,3.9568965517241383,-1.55,-6.0
6187000,6190000,2,1,2,3.7354838709677414,3.8145161290322567,-1.5499999999999998,-6.0
6198000,6198000,1,1,3,3.7450076804915513,3.8145161290322585,-1.5595238095238093,-6.0
6213000,6213000,1,2,1,3.68452380952381,3.875,-1.5595238095238093,-6.0
6219000,6243000,2,1,3,3.701086956521739,3.875,-1.576086956521739,-6.0
6250000,6250000,1,2,1,3.6442687747035576,3.9318181818181817,-1.5760869565217392,-6.0
6262000,6273000,3,1,4,3.6442687747035576,3.9318181818181817,-1.5760869565217392,-6.0
6547000,6570000,3,1,3,3.6643356643356637,3.9318181818181817,-1.5961538461538463,-6.0
6581000,6581000,1,2,1,3.610859728506787,3.9852941176470584,-1.5961538461538463,-6.0
6582000,6582000,1,2,3,3.610859728506788,4.0,-1.6108597285067872,-6.0
6587000,6587000,1,2,1,3.5604395604395607,4.050420168067227,-1.610859728506787,-6.0
6590000,6590000,1,1,3,3.566137566137566,4.050420168067227,-1.616557734204793,-6.0
6594000,6605000,2,3,1,3.300492610837438,4.050420168067227,-1.3509127789046653,-6.0
6610000,6610000,1,1,3,3.314285714285714,4.050420168067227,-1.3647058823529414,-6.0
6614000,6619000,2,3,2,3.314285714285714,3.654135338345864,-0.9684210526315786,-6.0
6625000,6625000,1,1,3,3.3271889400921646,3.654135338345864,-0.9813242784380307,-6.0
6626000,6629000,2,3,2,3.327188940092165,3.3333333333333326,-0.660522273425499,-6.0
6630000,6630000,1,1,3,3.3392857142857144,3.3333333333333326,-0.6726190476190474,-6.0
6637000,7566000,2,2,1,3.246621621621621,3.4259974259974264,-0.6726190476190477,-6.0
7571000,7571000,1,2,4,3.246621621621621,3.4259974259974264,-0.6726190476190477,-6.0
7608000,7608000,1,1,3,3.2579852579852577,3.425997425997426,-0.6839826839826844,-6.0
7632000,7632000,1,2,1,3.2153110047846885,3.4686716791979952,-0.6839826839826841,-6.0
7635000,7635000,1,1,3,3.2260061919504643,3.4686716791979957,-0.6946778711484591,-6.0
7636000,7636000,1,2,1,3.1855203619909496,3.509157509157509,-0.6946778711484591,-6.0
7667000,7667000,1,1,3,3.195604395604395,3.50915750915751,-0.7047619047619047,-6.0
7668000,7668000,1,2,1,3.157142857142857,3.5476190476190474,-0.7047619047619047,-6.0
7672000,9069000,5,1,4,3.157142857142857,3.5476190476190474,-0.7047619047619047,-6.0
9072000,9072000,1,2,1,3.120557491289198,3.584204413472706,-0.7047619047619049,-6.0
9077000,9097000,2,1,4,3.120557491289198,3.584204413472706,-0.7047619047619049,-6.0
9129000,9129000,1,1,3,3.1300813008130075,3.5842044134727065,-0.7142857142857142,-6.0
9132000,9132000,1,3,2,3.1300813008130075,3.4456762749445673,-0.5757575757575761,-6.0
9169000,9169000,1,1,3,3.1390903098220173,3.4456762749445673,-0.5847665847665853,-6.0
9179000,9179000,1,3,2,3.139090309822017,3.319194061505832,-0.45828437132784905,-6.0
9202000,9202000,1,2,1,3.1042471042471043,3.3540372670807455,-0.4582843713278495,-6.0
9205000,9205000,1,1,4,3.1042471042471043,3.3540372670807455,-0.4582843713278495,-6.0
10644000,10952000,6,1,3,3.149501661129568,3.3540372670807455,-0.5035389282103133,-6.0
10987000,11003000,3,1,4,3.149501661129568,3.3540372670807455,-0.5035389282103133,-6.0
11455000,11470000,2,1,3,3.161904761904761,3.354037267080745,-0.5159420289855072,-6.0
