Time,Attacker,Victim,Attack Type,4,1,2,3
463000.0,1,4,C,-1.0,1.0,0.0,0.0
466000.0,1,4,F,-1.0,1.0,0.0,0.0
471000.0,1,2,F,-1.0,2.0,-1.0,0.0
486000.0,1,4,F,-1.0,2.0,-1.0,0.0
490000.0,1,2,F,-1.0,2.0,-1.0,0.0
1070000.0,1,4,F,-1.0,2.0,-1.0,0.0
1076000.0,1,4,C,-1.0,2.0,-1.0,0.0
1081000.0,1,2,F,-1.0,2.0,-1.0,0.0
1085000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1154000.0,1,3,C,-1.0,3.0,-1.0,-1.0
1175000.0,1,2,F,-1.0,3.0,-1.0,-1.0
1180000.0,1,2,S,-1.0,3.0,-1.0,-1.0
1181000.0,1,2,F,-1.0,3.0,-1.0,-1.0
1189000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1214000.0,1,2,F,-1.0,3.0,-1.0,-1.0
1217000.0,1,4,S,-1.0,3.0,-1.0,-1.0
1263000.0,1,3,S,-1.0,3.0,-1.0,-1.0
1314000.0,1,3,S,-1.0,3.0,-1.0,-1.0
1317000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1318000.0,1,3,C,-1.0,3.0,-1.0,-1.0
1334000.0,1,2,C,-1.0,3.0,-1.0,-1.0
1452000.0,1,3,C,-1.0,3.0,-1.0,-1.0
1470000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1472000.0,1,2,F,-1.0,3.0,-1.0,-1.0
1473000.0,1,2,F,-1.0,3.0,-1.0,-1.0
1474000.0,1,2,S,-1.0,3.0,-1.0,-1.0
1482000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1487000.0,1,4,S,-1.0,3.0,-1.0,-1.0
1490000.0,1,2,F,-1.0,3.0,-1.0,-1.0
1492000.0,1,2,F,-1.0,3.0,-1.0,-1.0
1493000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1494000.0,1,4,C,-1.0,3.0,-1.0,-1.0
1498000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1499000.0,1,2,C,-1.0,3.0,-1.0,-1.0
1500000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1587000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1593000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1595000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1601000.0,1,3,S,-1.0,3.0,-1.0,-1.0
1616000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1618000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1623000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1626000.0,1,3,F,-1.0,3.0,-1.0,-1.0
1630000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1631000.0,1,4,C,-1.0,3.0,-1.0,-1.0
1632000.0,1,3,S,-1.0,3.0,-1.0,-1.0
1635000.0,1,4,F,-1.0,3.0,-1.0,-1.0
1865000.0,1,3,S,-1.0,3.0,-1.0,-1.0
1897000.0,1,3,S,-1.0,3.0,-1.0,-1.0
2156000.0,1,4,S,-1.0,3.0,-1.0,-1.0
2288000.0,1,2,F,-1.0,3.0,-1.0,-1.0
2292000.0,1,2,F,-1.0,3.0,-1.0,-1.0
2307000.0,1,2,F,-1.0,3.0,-1.0,-1.0
2311000.0,3,2,S,-1.0,4.0,-3.0,0.0
2314000.0,3,2,F,-1.0,4.0,-3.0,0.0
2315000.0,1,4,F,-1.0,4.0,-3.0,0.0
2596000.0,1,3,F,-1.0,4.0,-3.0,0.0
2603000.0,1,3,F,-1.0,4.0,-3.0,0.0
2614000.0,1,3,F,-1.0,4.0,-3.0,0.0
2619000.0,1,3,F,-1.0,4.0,-3.0,0.0
2622000.0,1,3,F,-1.0,4.0,-3.0,0.0
2624000.0,1,3,F,-1.0,4.0,-3.0,0.0
2630000.0,1,3,F,-1.0,4.0,-3.0,0.0
2637000.0,1,3,F,-1.0,4.0,-3.0,0.0
2644000.0,1,4,S,-1.0,4.0,-3.0,0.0
2917000.0,1,3,F,-1.0,4.0,-3.0,0.0
2923000.0,1,2,F,-1.0,4.0,-3.0,0.0
2928000.0,1,3,F,-1.0,4.0,-3.0,0.0
2932000.0,1,3,F,-1.0,4.0,-3.0,0.0
2933000.0,1,3,C,-1.0,4.0,-3.0,0.0
2937000.0,1,3,F,-1.0,4.0,-3.0,0.0
2943000.0,1,3,F,-1.0,4.0,-3.0,0.0
2951000.0,1,4,S,-1.0,4.0,-3.0,0.0
3084000.0,1,3,S,-1.0,4.0,-3.0,0.0
3455000.0,1,3,S,-1.0,4.0,-3.0,0.0
3463000.0,1,3,S,-1.0,4.0,-3.0,0.0
3684000.0,1,3,S,-1.0,4.0,-3.0,0.0
3707000.0,1,3,F,-1.0,4.0,-3.0,0.0
3723000.0,1,3,F,-1.0,4.0,-3.0,0.0
3729000.0,1,3,F,-1.0,4.0,-3.0,0.0
3745000.0,1,3,F,-1.0,4.0,-3.0,0.0
3752000.0,1,4,S,-1.0,4.0,-3.0,0.0
3753000.0,1,3,F,-1.0,4.0,-3.0,0.0
3794000.0,1,3,S,-1.0,4.0,-3.0,0.0
3896000.0,1,3,S,-1.0,4.0,-3.0,0.0
4037000.0,1,3,S,-1.0,4.0,-3.0,0.0
4084000.0,1,3,F,-1.0,4.0,-3.0,0.0
4087000.0,1,3,F,-1.0,4.0,-3.0,0.0
4089000.0,1,3,F,-1.0,4.0,-3.0,0.0
4092000.0,1,3,F,-1.0,4.0,-3.0,0.0
4095000.0,1,3,F,-1.0,4.0,-3.0,0.0
4103000.0,1,3,F,-1.0,4.0,-3.0,0.0
4106000.0,1,3,S,-1.0,4.0,-3.0,0.0
4115000.0,1,3,S,-1.0,4.0,-3.0,0.0
4119000.0,1,3,S,-1.0,4.0,-3.0,0.0
4279000.0,1,2,R,-1.0,4.0,-3.0,0.0
4309000.0,1,3,S,-1.0,4.0,-3.0,0.0
4314000.0,1,3,S,-1.0,4.0,-3.0,0.0
4601000.0,1,3,C,-1.0,4.0,-3.0,0.0
4602000.0,1,3,F,-1.0,4.0,-3.0,0.0
4604000.0,1,3,F,-1.0,4.0,-3.0,0.0
4606000.0,1,3,F,-1.0,4.0,-3.0,0.0
4612000.0,1,3,C,-1.0,4.0,-3.0,0.0
4613000.0,1,3,F,-1.0,4.0,-3.0,0.0
