count,intransitive,stateMatch,start,end,states,idxs
5,[],1,1413000.0,1441000.0,['12'],[1]
4,[],5,1442000.0,1450000.0,"['12', '34']","[2, 3]"
5,[],13,1492000.0,2252000.0,"['12', '31', '42']",[4]
2,[],15,2270000.0,2273000.0,"['12', '24', '31']",[5]
2,[],13,2770000.0,3007000.0,"['12', '31', '42']",[6]
3,[],20,3816000.0,3843000.0,"['13', '14', '21', '43']","[7, 8]"
2,"[['13', '21', '32']]",23,7050000.0,7059000.0,"['14', '21', '31', '43']",[9]
1,[],21,7065000.0,7065000.0,"['13', '21', '41', '43']",[10]
1,[],20,7305000.0,7305000.0,"['13', '14', '21', '43']",[11]
5,[],16,7311000.0,7331000.0,"['12', '13', '14', '43']",[12]
1,[],20,8217000.0,8217000.0,"['13', '14', '21', '43']",[13]
10,[],16,8221000.0,8277000.0,"['12', '13', '14', '43']",[14]
2,"[['12', '23', '31']]",19,8955000.0,8998000.0,"['12', '14', '31', '43']",[15]
1,[],16,9013000.0,9013000.0,"['12', '13', '14', '43']",[16]
1,[],17,9122000.0,9122000.0,"['12', '13', '41', '43']",[17]
7,[],16,9126000.0,9151000.0,"['12', '13', '14', '43']",[18]
4,"[['12', '23', '31']]",19,9176000.0,9652000.0,"['12', '14', '31', '43']",[19]
1,[],17,9679000.0,9679000.0,"['12', '13', '41', '43']",[20]
1,[],16,10404000.0,10404000.0,"['12', '13', '14', '43']",[21]
1,[],17,10411000.0,10411000.0,"['12', '13', '41', '43']",[22]
9,[],18,10938000.0,11636000.0,"['12', '31', '41', '43']","[23, 24, 25]"
1,[],29,11651000.0,11651000.0,"['12', '13', '14', '24', '43']",[26]
1,[],31,12000000.0,12000000.0,"['13', '14', '21', '24', '43']",[27]
1,[],29,12002000.0,12002000.0,"['12', '13', '14', '24', '43']",[28]
2,[],30,12059000.0,12076000.0,"['12', '13', '14', '24', '34']",[29]
1,[],32,12392000.0,12392000.0,"['12', '14', '24', '31', '34']",[30]
1,[],30,12731000.0,12731000.0,"['12', '13', '14', '24', '34']",[31]
4,[],29,13260000.0,13497000.0,"['12', '13', '14', '24', '43']",[32]
11,[],30,13598000.0,14362000.0,"['12', '13', '14', '24', '34']",[33]
2,[],32,14364000.0,14374000.0,"['12', '14', '24', '31', '34']",[34]
6,[],30,14389000.0,15043000.0,"['12', '13', '14', '24', '34']",[35]
6,[],29,15622000.0,15638000.0,"['12', '13', '14', '24', '43']",[36]
5,"[['13', '21', '32']]",34,15644000.0,15830000.0,"['13', '14', '21', '42', '43']",[37]
23,[],29,16127000.0,19815000.0,"['12', '13', '14', '24', '43']",[38]
8,[],28,19825000.0,20123000.0,"['12', '13', '14', '42', '43']","[39, 40]"
3,"[['13', '21', '32']]",34,20142000.0,20364000.0,"['13', '14', '21', '42', '43']",[41]
4,[],29,21389000.0,22043000.0,"['12', '13', '14', '24', '43']",[42]
16,[],28,22062000.0,24988000.0,"['12', '13', '14', '42', '43']","[43, 44, 45]"
82,[],38,25021000.0,133574000.0,"['12', '13', '14', '23', '24', '43']","[46, 47, 48, 49, 50, 51, 52, 53, 54, 55]"
