count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
97,23,23,[],38,1,34899000.0,41459000.0,"['14', '12', '13', '23', '34', '24']","[38, 59, 0, 0]","[0, 22, 12, 63]","[8, 22, 8, 4, 0, 55]","[5.503105590062113, 0.976061076604555, -0.6666666666666665, -5.8125]"
1,21,21,[],38,7,41631000.0,41631000.0,"['14', '21', '13', '23', '34', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[5.481481481481481, 0.9976851851851853, -0.6666666666666666, -5.8125]"
19,12,12,[],38,1,41637000.0,43817000.0,"['14', '12', '13', '23', '34', '24']","[18, 0, 1, 0]","[0, 11, 2, 6]","[5, 11, 2, 0, 1, 0]","[5.514450867052022, 0.9647157996146435, -0.6666666666666665, -5.8125]"
60,42,42,"[['23', '34', '42']]",39,2,44145000.0,103026000.0,"['14', '12', '13', '23', '34', '42']","[47, 1, 0, 12]","[0, 23, 17, 20]","[20, 11, 16, 1, 0, 12]","[5.543478260869566, 0.524190912062765, -0.8571428571428577, -5.210526315789474]"
7,24,24,[],38,1,103961000.0,104802000.0,"['14', '12', '13', '23', '34', '24']","[0, 7, 0, 0]","[0, 0, 2, 5]","[0, 0, 0, 2, 0, 5]","[5.543478260869566, 0.8268921095008053, -1.1111111111111107, -5.2592592592592595]"
13,32,32,[],38,3,104836000.0,110126000.0,"['14', '12', '13', '32', '34', '24']","[12, 0, 1, 0]","[0, 3, 8, 2]","[2, 2, 8, 1, 0, 0]","[5.548387096774194, 0.5108721624850658, -0.7999999999999998, -5.2592592592592595]"
29,42,42,[],38,5,111751000.0,119485000.0,"['14', '12', '13', '32', '34', '42']","[21, 0, 0, 8]","[0, 17, 7, 5]","[5, 9, 7, 0, 0, 8]","[5.569230769230769, 0.19706136560069143, -0.7999999999999998, -4.966292134831461]"
12,24,24,[],38,3,123713000.0,134286000.0,"['14', '12', '13', '32', '34', '24']","[8, 4, 0, 0]","[0, 6, 2, 4]","[0, 6, 2, 0, 0, 4]","[5.582089552238806, 0.22866313593323673, -0.8000000000000003, -5.010752688172044]"
4,42,42,[],38,5,134293000.0,134613000.0,"['14', '12', '13', '32', '34', '42']","[0, 0, 0, 4]","[0, 4, 0, 0]","[0, 0, 0, 0, 0, 4]","[5.582089552238806, 0.10450838590552358, -0.7999999999999998, -4.88659793814433]"
1,24,24,[],38,3,135047000.0,135047000.0,"['14', '12', '13', '32', '34', '24']","[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 0, 1]","[5.582089552238806, 0.115869631434663, -0.7999999999999998, -4.8979591836734695]"
14,23,23,[],38,1,135119000.0,172498000.0,"['14', '12', '13', '23', '34', '24']","[8, 6, 0, 0]","[0, 2, 7, 5]","[1, 2, 5, 2, 0, 4]","[5.586206896551724, 0.3549695740365113, -0.9999999999999998, -4.9411764705882355]"
