count,intransitive,stateMatch,start,end,states,idxs
4,[],1,36378300,39187200,['12'],[1]
1,[],4,39264400,39264400,"['21', '31']",[2]
4,[],10,43842700,43859500,"['12', '13', '23']",[3]
11,[],16,43865600,44249100,"['12', '13', '14', '43']",[4]
3,[],30,44316300,44566900,"['12', '13', '14', '24', '34']",[5]
169,[],38,44787500,131904300,"['12', '13', '14', '23', '24', '43']","[6, 7, 8]"
1,"[['12', '23', '31']]",40,132044400,132044400,"['12', '13', '23', '24', '41', '43']",[9]
62,[],38,132118700,143811500,"['12', '13', '14', '23', '24', '43']",[10]
