count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
2,14,null,[],1,3,34203100,34293700,['14'],"[2, 0, 0, 0]","[0, 0, 0, 2]",[2],"[1.0, 0.0, 0.0, -1.0]"
5,34,null,[],4,9,34330200,34507100,"['14', '34']","[2, 0, 3, 0]","[0, 0, 0, 5]","[2, 3]","[1.0, 0.0, 1.0, -2.0]"
2,13,null,[],10,5,34624900,34624900,"['14', '34', '13']","[2, 0, 0, 0]","[0, 0, 2, 0]","[0, 0, 2]","[3.0, 0.0, 0.0, -3.0]"
24,12,null,[],16,2,35180500,38041100,"['14', '34', '13', '12']","[24, 0, 0, 0]","[0, 4, 4, 16]","[16, 0, 4, 4]","[4.0, -1.0, 0.0, -3.0]"
10,24,null,[],30,1,38674300,40690300,"['14', '34', '13', '12', '24']","[2, 8, 0, 0]","[0, 2, 0, 8]","[0, 0, 0, 2, 8]","[5.0, 0.0, 0.0, -5.0]"
403,23,null,[],38,1,40747500,144958500,"['14', '34', '13', '12', '24', '23']","[169, 170, 64, 0]","[0, 63, 15, 325]","[105, 64, 1, 63, 156, 14]","[6.0, 2.0, -2.0, -6.0]"
