count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
73,12,12,[],38,2,28297000,31060000,"['12', '14', '13', '43', '24', '23']","[37, 36, 0, 0]","[0, 1, 66, 6]","[1, 4, 32, 0, 2, 34]","[4.658829961727719, 3.173363516317676, -4.649717514124294, -3.182475963921102]"
3,21,21,[],38,8,31600000,31621000,"['21', '14', '13', '43', '24', '23']","[0, 3, 0, 0]","[2, 0, 1, 0]","[2, 0, 0, 0, 0, 1]","[4.4946070878274265, 3.337586390217969, -4.649717514124294, -3.1824759639211027]"
211,12,12,[],38,2,31622000,38998000,"['12', '14', '13', '43', '24', '23']","[113, 97, 0, 1]","[0, 3, 180, 28]","[3, 6, 104, 1, 22, 75]","[4.622643896268184, 3.2297063903281513, -4.788235294117647, -3.0641149924786895]"
3,21,21,[],38,8,38999000,39005000,"['21', '14', '13', '43', '24', '23']","[1, 2, 0, 0]","[1, 0, 2, 0]","[1, 0, 1, 0, 0, 1]","[4.5506063247998725, 3.3017784624002235, -4.7882697947214075, -3.06411499247869]"
15,12,12,[],38,2,39008000,39571000,"['12', '14', '13', '43', '24', '23']","[8, 7, 0, 0]","[0, 1, 12, 2]","[1, 2, 5, 0, 0, 7]","[4.58827222198077, 3.264794109626398, -4.788439306358382, -3.064627025248787]"
1,32,32,"[['24', '32', '43']]",39,1,40079000,40079000,"['12', '14', '13', '43', '24', '32']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 0, 1]","[4.588272221980771, 3.2510010061781216, -4.774646202910105, -3.064627025248787]"
77,23,23,[],38,2,40080000,42310000,"['12', '14', '13', '43', '24', '23']","[40, 36, 0, 1]","[0, 1, 69, 7]","[1, 3, 36, 1, 4, 32]","[4.6251877105401995, 3.219388130445292, -4.88619734465398, -2.958378496331512]"
2,21,21,[],38,8,42311000,42330000,"['21', '14', '13', '43', '24', '23']","[0, 2, 0, 0]","[1, 0, 1, 0]","[1, 0, 0, 0, 0, 1]","[4.558521043873533, 3.286093256431613, -4.886235803973635, -2.9583784963315125]"
29,12,12,[],38,2,42331000,42692000,"['12', '14', '13', '43', '24', '23']","[8, 21, 0, 0]","[0, 3, 22, 4]","[3, 0, 5, 0, 4, 17]","[4.656330749354005, 3.191058387950808, -4.8869902858958945, -2.9603988514089172]"
12,32,32,"[['24', '32', '43']]",39,1,86446000,86627000,"['12', '14', '13', '43', '24', '32']","[10, 1, 1, 0]","[0, 1, 3, 8]","[0, 7, 3, 0, 1, 1]","[4.658006243642358, 3.179855269848065, -4.875374088277314, -2.9624874252131095]"
4,42,42,[],38,6,86628000,86632000,"['12', '14', '13', '43', '42', '32']","[0, 0, 0, 4]","[0, 4, 0, 0]","[0, 0, 0, 0, 4, 0]","[4.658006243642358, 3.104107889284766, -4.875374088277315, -2.8867400446498106]"
15,41,41,[],38,12,86633000,86652000,"['12', '41', '13', '43', '42', '32']","[4, 0, 1, 10]","[1, 14, 0, 0]","[4, 1, 0, 0, 9, 1]","[4.739860067457521, 2.821517921473649, -4.863746779536253, -2.6976312093949164]"
12,34,34,"[['13', '34', '41']]",40,3,86657000,86733000,"['12', '41', '13', '34', '42', '32']","[3, 0, 1, 8]","[0, 9, 2, 1]","[1, 0, 2, 1, 8, 0]","[4.764735091116739, 2.6652112343639365, -4.621374865735768, -2.8085714597449076]"
15,43,43,[],38,12,86851000,87042000,"['12', '41', '13', '43', '42', '32']","[5, 0, 0, 10]","[0, 3, 12, 0]","[0, 0, 5, 7, 3, 0]","[4.764863605998762, 2.618304611085236, -5.11273145079323, -2.2704367662907674]"
25,34,34,"[['13', '34', '41']]",40,3,87043000,87189000,"['12', '41', '13', '34', '42', '32']","[8, 0, 2, 15]","[0, 20, 3, 2]","[5, 0, 3, 2, 15, 0]","[4.875002065831152, 2.291225597855125, -4.812055137844611, -2.354172525841666]"
1,24,24,"[['13', '34', '41'], ['12', '24', '41']]",41,23,87295000,87295000,"['12', '41', '13', '34', '24', '32']","[0, 1, 0, 0]","[0, 0, 0, 1]","[0, 0, 0, 0, 1, 0]","[4.875002065831154, 2.294243327013933, -4.812055137844611, -2.3571902550004737]"
2,23,23,"[['13', '34', '41'], ['12', '24', '41']]",41,20,87296000,87298000,"['12', '41', '13', '34', '24', '23']","[0, 2, 0, 0]","[0, 0, 2, 0]","[0, 0, 0, 0, 0, 2]","[4.875002065831153, 2.294447325381946, -4.812259136212624, -2.3571902550004733]"
23,14,14,[],38,1,87298000,89299000,"['12', '14', '13', '34', '24', '23']","[18, 5, 0, 0]","[0, 0, 17, 6]","[0, 5, 13, 0, 1, 4]","[4.8773729682218665, 2.29784117957327, -4.812974868497955, -2.362239279297182]"
66,43,43,[],38,2,89306000,93588000,"['12', '14', '13', '43', '24', '23']","[42, 22, 0, 2]","[0, 0, 51, 15]","[0, 7, 35, 2, 8, 14]","[4.880776379818737, 2.3222593831906817, -4.914443996431145, -2.2885917665782736]"
1,31,31,"[['12', '23', '31'], ['14', '31', '43']]",41,19,93968000,93968000,"['12', '14', '31', '43', '24', '23']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[4.87188757930967, 2.3222593831906817, -4.9055551959220765, -2.2885917665782736]"
302,13,13,[],38,2,93974000,99886000,"['12', '14', '13', '43', '24', '23']","[114, 57, 0, 131]","[0, 0, 256, 46]","[0, 24, 90, 131, 22, 35]","[4.882311151292034, 2.381688428644372, -5.799086843347369, -1.464912736589037]"
18,34,34,[],38,1,99889000,100026000,"['12', '14', '13', '34', '24', '23']","[13, 2, 3, 0]","[0, 0, 13, 5]","[0, 1, 12, 3, 1, 1]","[4.882900158659498, 2.3841172533927035, -5.726030826912488, -1.540986585139714]"
1,43,43,[],38,2,100114000,100114000,"['12', '14', '13', '43', '24', '23']","[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]","[4.882900158659498, 2.384117253392704, -5.72748208870399, -1.539535323348212]"
72,34,34,[],38,1,100116000,101037000,"['12', '14', '13', '34', '24', '23']","[25, 23, 24, 0]","[0, 1, 31, 40]","[1, 8, 16, 24, 8, 15]","[4.904897571564238, 2.3838678717870927, -5.231560237209955, -2.0572052061413766]"
65,32,32,[],38,3,101044000,101241000,"['12', '14', '13', '34', '24', '32']","[10, 0, 55, 0]","[0, 4, 0, 61]","[0, 10, 0, 51, 0, 4]","[4.907186948853615, 2.3457772788861107, -4.476684283746788, -2.7762799439929386]"
117,23,23,[],38,1,101244000,101936000,"['12', '14', '13', '34', '24', '23']","[52, 5, 60, 0]","[0, 0, 6, 111]","[0, 51, 1, 60, 0, 5]","[4.915956645221122, 2.3465728509592587, -3.953694474890037, -3.308835021290342]"
2,32,32,[],38,3,101946000,101946000,"['12', '14', '13', '34', '24', '32']","[0, 0, 2, 0]","[0, 2, 0, 0]","[0, 0, 0, 0, 0, 2]","[4.9159566452211205, 2.3280179014823736, -3.9351395254131525, -3.308835021290342]"
180,23,23,[],38,1,101947000,103219000,"['12', '14', '13', '34', '24', '23']","[66, 47, 67, 0]","[0, 0, 49, 131]","[0, 54, 12, 67, 10, 37]","[4.922233832578659, 2.3562062047189674, -3.563671345816607, -3.7147686914810207]"
15,21,21,[],38,7,103220000,103690000,"['21', '14', '13', '34', '24', '23']","[7, 8, 0, 0]","[2, 0, 13, 0]","[2, 0, 7, 0, 0, 6]","[4.816578210104616, 2.4630296223971975, -3.5648391410207925, -3.7147686914810203]"
1,43,43,[],38,8,103748000,103748000,"['21', '14', '13', '43', '24', '23']","[0, 0, 0, 1]","[0, 0, 1, 0]","[0, 0, 0, 1, 0, 0]","[4.816578210104616, 2.4630296223971975, -3.5713334469610825, -3.708274385540731]"
23,34,34,[],38,7,103749000,104042000,"['21', '14', '13', '34', '24', '23']","[10, 6, 7, 0]","[0, 0, 8, 15]","[0, 6, 4, 7, 2, 4]","[4.817203837860219, 2.4677845660557214, -3.540465282570975, -3.744523121344965]"
1,31,31,[],38,13,104078000,104078000,"['21', '14', '31', '34', '24', '23']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[4.810469946608561, 2.4677845660557214, -3.533731391319318, -3.7445231213449652]"
216,13,13,[],38,7,104083000,107509000,"['21', '14', '13', '34', '24', '23']","[66, 98, 52, 0]","[0, 0, 143, 73]","[0, 13, 53, 52, 8, 90]","[4.813221750283864, 2.495904562908848, -3.345795654413985, -3.9633306587787267]"
