count,intransitive,stateMatch,start,end,states,idxs
1,[],1,1287000,1287000,['12'],[1]
2,[],4,1298000,1299000,"['21', '31']",[2]
5,[],10,1311000,1616000,"['12', '13', '23']","[3, 4, 5]"
3,"[['13', '34', '41']]",11,1966000,2102000,"['12', '23', '31']",[6]
4,[],10,2112000,2279000,"['12', '13', '23']","[7, 8, 9]"
1,"[['13', '34', '41']]",11,2752000,2752000,"['12', '23', '31']",[10]
2,[],10,2755000,2776000,"['12', '13', '23']",[11]
6,[],16,2785000,3270000,"['12', '13', '14', '43']",[12]
3,[],28,3271000,3339000,"['12', '13', '14', '42', '43']",[13]
25,[],38,3390000,3697000,"['12', '13', '14', '23', '24', '43']","[14, 15, 16, 17, 18, 19, 20, 21, 22]"
1,"[['13', '34', '41'], ['12', '24', '41']]",41,3730000,3730000,"['12', '13', '24', '32', '41', '43']",[23]
57,[],38,3731000,4383000,"['12', '13', '14', '23', '24', '43']","[24, 25, 26, 27, 28, 29, 30, 31, 32]"
3,"[['13', '34', '41'], ['12', '24', '41']]",41,4384000,4488000,"['12', '13', '24', '32', '41', '43']",[33]
7,[],38,4489000,4566000,"['12', '13', '14', '23', '24', '43']",[34]
8,"[['12', '23', '31']]",40,4566000,4705000,"['12', '13', '23', '24', '41', '43']",[35]
553,[],38,4706000,10514000,"['12', '13', '14', '23', '24', '43']","[36, 37, 38, 39, 40, 41, 42, 43, 44, 45, 46, 47]"
33,"[['12', '24', '41']]",40,10515000,11136000,"['12', '13', '23', '24', '41', '43']",[48]
650,[],38,11249000,24915000,"['12', '13', '14', '23', '24', '43']","[49, 50, 51, 52, 53, 54, 55]"
1,"[['24', '32', '43']]",39,24939000,24939000,"['12', '13', '14', '24', '32', '43']",[56]
2,[],38,24940000,24942000,"['12', '13', '14', '23', '24', '43']",[57]
1,"[['12', '23', '31'], ['14', '31', '43']]",41,24970000,24970000,"['12', '13', '24', '32', '41', '43']",[58]
25,[],38,24972000,25533000,"['12', '13', '14', '23', '24', '43']","[59, 60, 61, 62, 63]"
5,"[['13', '34', '41'], ['12', '24', '41']]",41,25535000,25740000,"['12', '13', '24', '32', '41', '43']",[64]
11,[],38,25740000,26094000,"['12', '13', '14', '23', '24', '43']","[65, 66]"
1,"[['12', '23', '31']]",40,26095000,26095000,"['12', '13', '23', '24', '41', '43']",[67]
158,[],38,26095000,29917000,"['12', '13', '14', '23', '24', '43']","[68, 69, 70, 71, 72, 73, 74, 75, 76, 77, 78]"
2,"[['23', '34', '42']]",39,29921000,29930000,"['12', '13', '14', '24', '32', '43']",[79]
68,[],38,29947000,30645000,"['12', '13', '14', '23', '24', '43']",[80]
4,"[['12', '23', '31']]",40,30731000,30840000,"['12', '13', '23', '24', '41', '43']",[81]
5,[],38,30842000,30961000,"['12', '13', '14', '23', '24', '43']",[82]
4,"[['14', '31', '43'], ['24', '32', '43']]",41,30963000,31023000,"['12', '13', '24', '32', '41', '43']","[83, 84]"
2,"[['12', '24', '41']]",39,31025000,31026000,"['12', '13', '14', '24', '32', '43']",[85]
1,[],38,31042000,31042000,"['12', '13', '14', '23', '24', '43']",[86]
1,"[['12', '24', '41']]",39,31076000,31076000,"['12', '13', '14', '24', '32', '43']",[87]
1,"[['12', '23', '31'], ['12', '24', '41']]",41,31083000,31083000,"['12', '13', '24', '32', '41', '43']",[88]
3,"[['12', '24', '41']]",39,31090000,31196000,"['12', '13', '14', '24', '32', '43']",[89]
77,[],38,31305000,32584000,"['12', '13', '14', '23', '24', '43']","[90, 91, 92, 93]"
4,"[['24', '32', '43']]",39,32628000,32672000,"['12', '13', '14', '24', '32', '43']",[94]
98,[],38,32674000,34819000,"['12', '13', '14', '23', '24', '43']","[95, 96, 97]"
1,"[['24', '32', '43']]",39,34905000,34905000,"['12', '13', '14', '24', '32', '43']",[98]
1,"[['12', '24', '41'], ['24', '32', '43']]",41,34929000,34929000,"['12', '13', '24', '32', '41', '43']",[99]
1,"[['24', '32', '43']]",39,34930000,34930000,"['12', '13', '14', '24', '32', '43']",[100]
2,[],38,34954000,34957000,"['12', '13', '14', '23', '24', '43']",[101]
1,"[['13', '34', '41'], ['12', '24', '41']]",41,34985000,34985000,"['12', '13', '24', '32', '41', '43']",[102]
3,"[['12', '24', '41']]",39,35005000,35049000,"['12', '13', '14', '24', '32', '43']",[103]
9,[],38,35051000,35162000,"['12', '13', '14', '23', '24', '43']","[104, 105]"
1,"[['13', '34', '41'], ['12', '24', '41']]",41,35176000,35176000,"['12', '13', '24', '32', '41', '43']",[106]
