Time,Attacker,Victim,Attack Type,3,2,4,1
126000,2,3,B,-1.0,1.0,0.0,0.0
134000,3,4,T,0.0,2.0,-2.0,0.0
142000,3,2,T,1.0,0.5,-1.5,0.0
147000,4,2,T,1.5,-1.5,0.0,0.0
148000,1,4,C,1.5,-2.5,-1.0,2.0
159000,1,4,T,1.5,-2.5,-1.0,2.0
165000,1,2,T,1.0,-3.5,-1.0,3.5
174000,3,2,T,1.6666666666666665,-4.0,-1.0,3.333333333333333
192000,3,4,T,1.6666666666666665,-4.0,-1.0,3.333333333333333
198000,3,2,T,2.0,-4.25,-1.0,3.25
227000,3,2,C,2.1999999999999997,-4.4,-1.0,3.2
249000,1,4,C,2.1999999999999997,-4.4,-1.0,3.2
310000,3,4,T,2.1999999999999997,-4.4,-1.0,3.2
319000,1,3,T,1.2000000000000002,-5.199999999999999,-2.0,6.0
327000,4,2,T,1.2000000000000002,-5.199999999999999,-2.0,6.0
341000,1,3,T,1.2000000000000002,-5.199999999999999,-2.0,6.0
352000,1,3,C,1.2000000000000002,-5.199999999999999,-2.0,6.0
364000,3,2,T,1.3333333333333335,-5.333333333333334,-2.0,6.0
367000,3,4,T,1.3333333333333335,-5.333333333333334,-2.0,6.0
419000,3,4,T,1.3333333333333335,-5.333333333333334,-2.0,6.0
450000,3,2,C,1.4285714285714288,-5.428571428571429,-2.0,6.0
453000,4,2,T,1.4285714285714288,-5.428571428571429,-2.0,6.0
468000,1,2,T,1.4285714285714288,-5.428571428571429,-2.0,6.0
522000,1,3,T,1.4285714285714288,-5.428571428571429,-2.0,6.0
567000,3,2,T,1.5,-5.5,-2.0,6.0
575000,1,3,C,1.5,-5.5,-2.0,6.0
591000,3,4,T,1.5,-5.5,-2.0,6.0
629000,2,4,T,1.5,-4.5,-3.0,6.0
634000,3,4,C,1.5,-4.5,-3.0,6.0
641000,1,3,T,1.5,-4.5,-3.0,6.0
665000,1,3,T,1.5,-4.5,-3.0,6.0
697000,3,4,T,1.5,-4.5,-3.0,6.0
704000,3,4,T,1.5,-4.5,-3.0,6.0
781000,3,2,T,1.5555555555555556,-4.555555555555555,-3.0,6.0
862000,3,4,T,1.5555555555555556,-4.555555555555555,-3.0,6.0
870000,3,2,T,1.5999999999999996,-4.6,-3.0,6.0
884000,2,4,C,1.6,-4.0,-3.6,6.0
912000,2,3,T,1.2727272727272727,-3.672727272727273,-3.6000000000000005,6.0
913000,2,3,T,0.9999999999999999,-3.4,-3.5999999999999996,6.0
919000,2,1,T,1.0,-2.066666666666667,-3.5999999999999996,4.666666666666667
920000,2,4,T,1.0,-1.6666666666666665,-4.0,4.666666666666668
921000,2,1,T,1.0,-1.0,-4.0,4.0
925000,2,4,C,1.0,-0.7142857142857142,-4.285714285714286,3.999999999999999
939000,3,2,T,1.0769230769230766,-0.7912087912087908,-4.285714285714286,3.9999999999999996
952000,2,4,T,1.0769230769230769,-0.5769230769230766,-4.5,4.0
952000,2,4,C,1.0769230769230764,-0.4102564102564099,-4.666666666666666,4.0
979000,2,3,C,0.8571428571428574,-0.19047619047619047,-4.666666666666666,4.0
986000,2,3,T,0.6666666666666669,0.0,-4.666666666666666,4.0
993000,1,3,T,0.6666666666666669,0.0,-4.666666666666666,4.0
1011000,1,2,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1014000,1,3,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1015000,1,3,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1018000,1,3,C,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1022000,1,3,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1042000,1,3,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1085000,1,3,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1094000,3,4,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1099000,1,3,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1103000,1,4,T,0.6666666666666666,-0.40000000000000013,-4.666666666666666,4.3999999999999995
1115000,3,2,T,0.7499999999999998,-0.48333333333333317,-4.666666666666666,4.4
1116000,3,2,T,0.8235294117647062,-0.556862745098039,-4.666666666666666,4.4
1119000,3,2,T,0.8888888888888893,-0.6222222222222213,-4.666666666666666,4.4
1120000,3,2,T,0.9473684210526321,-0.6807017543859644,-4.666666666666666,4.4
1122000,3,4,C,0.9473684210526321,-0.6807017543859644,-4.666666666666666,4.4
1129000,3,4,C,0.9473684210526321,-0.6807017543859644,-4.666666666666666,4.4
1132000,3,1,T,1.1973684210526316,-0.6807017543859644,-4.666666666666666,4.1499999999999995
1169000,3,4,T,1.1973684210526316,-0.6807017543859644,-4.666666666666666,4.1499999999999995
1171000,3,2,T,1.25,-0.7333333333333332,-4.666666666666666,4.15
1175000,3,1,T,1.4705882352941178,-0.7333333333333332,-4.666666666666666,3.9294117647058826
1178000,1,2,T,1.4705882352941175,-0.9999999999999993,-4.666666666666666,4.196078431372549
1197000,3,1,T,1.666666666666666,-0.9999999999999998,-4.666666666666666,4.0
1198000,1,2,T,1.666666666666666,-1.19047619047619,-4.666666666666666,4.19047619047619
1200000,3,2,T,1.7142857142857137,-1.2380952380952384,-4.666666666666667,4.19047619047619
