count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,13,null,[],1,2,8391000,8391000,['13'],"[1, 0, 0, 0]","[0, 0, 1, 0]",[1],"[1.0, 0.0, -1.0, 0.0]"
5,14,null,[],2,3,9183000,9198000,"['13', '14']","[5, 0, 0, 0]","[0, 0, 0, 5]","[0, 5]","[2.0, 0.0, -1.0, -1.0]"
33,12,null,[],6,1,9241000,10498000,"['13', '14', '12']","[33, 0, 0, 0]","[0, 4, 13, 16]","[13, 16, 4]","[3.0, -1.0, -1.0, -1.0]"
13,24,null,[],16,5,10892000,11146000,"['13', '14', '12', '24']","[12, 1, 0, 0]","[0, 1, 0, 12]","[0, 11, 1, 1]","[4.0, 0.0, -1.0, -3.0]"
1,21,21,[],17,5,11147000,11147000,"['13', '14', '21', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]","[3.5000000000000004, 0.6666666666666665, -1.1666666666666667, -3.0]"
6,12,12,[],16,5,11148000,11372000,"['13', '14', '12', '24']","[6, 0, 0, 0]","[0, 3, 0, 3]","[0, 3, 3, 0]","[3.6666666666666665, 0.44444444444444464, -1.1111111111111112, -3.0]"
1,21,21,[],17,5,11375000,11375000,"['13', '14', '21', '24']","[0, 1, 0, 0]","[1, 0, 0, 0]","[0, 0, 1, 0]","[3.3999999999999995, 0.7999999999999997, -1.2, -3.0]"
1,12,12,[],16,5,11376000,11376000,"['13', '14', '12', '24']","[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 0, 1, 0]","[3.454545454545455, 0.7272727272727273, -1.1818181818181819, -3.0]"
2,21,21,[],17,5,11379000,11382000,"['13', '14', '21', '24']","[1, 1, 0, 0]","[1, 0, 0, 1]","[0, 1, 1, 0]","[3.25, 1.0, -1.25, -3.0]"
5,12,12,[],16,5,11392000,12848000,"['13', '14', '12', '24']","[3, 2, 0, 0]","[0, 1, 0, 4]","[0, 2, 1, 2]","[3.3076923076923075, 0.9230769230769234, -1.2307692307692308, -3.0]"
3,23,null,[],28,3,16052000,17158000,"['13', '14', '12', '24', '23']","[0, 3, 0, 0]","[0, 0, 3, 0]","[0, 0, 0, 0, 3]","[4.076923076923077, 1.9230769230769234, -3.0, -3.0]"
10,34,null,[],38,1,17378000,20521000,"['13', '14', '12', '24', '23', '34']","[0, 5, 5, 0]","[0, 0, 1, 9]","[0, 0, 0, 4, 1, 5]","[5.076923076923077, 2.9230769230769234, -2.0, -6.0]"
