Time,Attacker,Victim,Attack Type,2,1,4,3
485000,1,2,T,-1.0,1.0,0.0,0.0
489000,1,4,T,-1.0,2.0,-1.0,0.0
496000,1,4,T,-1.0,2.0,-1.0,0.0
501000,1,2,T,-1.0,2.0,-1.0,0.0
504000,1,4,T,-1.0,2.0,-1.0,0.0
511000,1,4,T,-1.0,2.0,-1.0,0.0
514000,1,4,T,-1.0,2.0,-1.0,0.0
521000,1,4,C,-1.0,2.0,-1.0,0.0
526000,1,4,C,-1.0,2.0,-1.0,0.0
540000,1,4,T,-1.0,2.0,-1.0,0.0
546000,1,4,C,-1.0,2.0,-1.0,0.0
562000,1,4,T,-1.0,2.0,-1.0,0.0
564000,1,4,T,-1.0,2.0,-1.0,0.0
566000,1,4,T,-1.0,2.0,-1.0,0.0
582000,1,3,T,-1.0,3.0,-1.0,-1.0
597000,1,4,T,-1.0,3.0,-1.0,-1.0
608000,1,4,T,-1.0,3.0,-1.0,-1.0
639000,1,2,C,-1.0,3.0,-1.0,-1.0
643000,1,2,C,-1.0,3.0,-1.0,-1.0
647000,1,4,T,-1.0,3.0,-1.0,-1.0
723000,1,4,T,-1.0,3.0,-1.0,-1.0
729000,1,4,T,-1.0,3.0,-1.0,-1.0
738000,1,4,T,-1.0,3.0,-1.0,-1.0
762000,1,3,T,-1.0,3.0,-1.0,-1.0
766000,1,4,C,-1.0,3.0,-1.0,-1.0
775000,1,2,T,-1.0,3.0,-1.0,-1.0
783000,1,3,T,-1.0,3.0,-1.0,-1.0
792000,1,2,T,-1.0,3.0,-1.0,-1.0
805000,1,4,T,-1.0,3.0,-1.0,-1.0
824000,1,3,T,-1.0,3.0,-1.0,-1.0
837000,1,4,T,-1.0,3.0,-1.0,-1.0
849000,1,4,T,-1.0,3.0,-1.0,-1.0
853000,1,3,C,-1.0,3.0,-1.0,-1.0
859000,1,4,T,-1.0,3.0,-1.0,-1.0
861000,1,3,B,-1.0,3.0,-1.0,-1.0
873000,1,4,T,-1.0,3.0,-1.0,-1.0
897000,1,2,T,-1.0,3.0,-1.0,-1.0
913000,1,3,T,-1.0,3.0,-1.0,-1.0
967000,1,2,T,-1.0,3.0,-1.0,-1.0
1005000,1,2,T,-1.0,3.0,-1.0,-1.0
1013000,1,2,T,-1.0,3.0,-1.0,-1.0
1020000,1,2,T,-1.0,3.0,-1.0,-1.0
1030000,1,4,T,-1.0,3.0,-1.0,-1.0
1035000,1,2,T,-1.0,3.0,-1.0,-1.0
1039000,1,2,T,-1.0,3.0,-1.0,-1.0
1040000,1,3,T,-1.0,3.0,-1.0,-1.0
1044000,1,4,T,-1.0,3.0,-1.0,-1.0
1046000,1,4,T,-1.0,3.0,-1.0,-1.0
1047000,1,2,T,-1.0,3.0,-1.0,-1.0
1048000,1,2,C,-1.0,3.0,-1.0,-1.0
1051000,1,2,C,-1.0,3.0,-1.0,-1.0
1055000,1,4,T,-1.0,3.0,-1.0,-1.0
1056000,1,2,T,-1.0,3.0,-1.0,-1.0
1064000,1,2,T,-1.0,3.0,-1.0,-1.0
1066000,1,3,T,-1.0,3.0,-1.0,-1.0
1069000,1,4,T,-1.0,3.0,-1.0,-1.0
1074000,1,3,T,-1.0,3.0,-1.0,-1.0
1095000,1,2,T,-1.0,3.0,-1.0,-1.0
1099000,2,4,T,0.0,4.0,-3.0,-1.0
1111000,1,2,T,0.0,4.0,-3.0,-1.0
1114000,1,4,T,0.0,4.0,-3.0,-1.0
1125000,1,2,T,0.0,4.0,-3.0,-1.0
1144000,1,4,T,0.0,4.0,-3.0,-1.0
1153000,1,2,T,0.0,4.0,-3.0,-1.0
1155000,1,2,T,0.0,4.0,-3.0,-1.0
1161000,1,2,C,0.0,4.0,-3.0,-1.0
1167000,1,4,T,0.0,4.0,-3.0,-1.0
1169000,1,3,T,0.0,4.0,-3.0,-1.0
1172000,1,2,T,0.0,4.0,-3.0,-1.0
1176000,1,3,T,0.0,4.0,-3.0,-1.0
1179000,1,2,T,0.0,4.0,-3.0,-1.0
1190000,1,3,T,0.0,4.0,-3.0,-1.0
1193000,1,2,T,0.0,4.0,-3.0,-1.0
1220000,1,4,T,0.0,4.0,-3.0,-1.0
1222000,1,3,T,0.0,4.0,-3.0,-1.0
1235000,1,3,T,0.0,4.0,-3.0,-1.0
1238000,1,3,T,0.0,4.0,-3.0,-1.0
1241000,1,2,T,0.0,4.0,-3.0,-1.0
1257000,1,2,T,0.0,4.0,-3.0,-1.0
1260000,1,3,T,0.0,4.0,-3.0,-1.0
1272000,1,3,T,0.0,4.0,-3.0,-1.0
1277000,1,3,T,0.0,4.0,-3.0,-1.0
1282000,1,3,T,0.0,4.0,-3.0,-1.0
1285000,1,3,T,0.0,4.0,-3.0,-1.0
1290000,1,2,T,0.0,4.0,-3.0,-1.0
1295000,1,4,T,0.0,4.0,-3.0,-1.0
1297000,1,3,T,0.0,4.0,-3.0,-1.0
1313000,1,2,T,0.0,4.0,-3.0,-1.0
1322000,1,2,T,0.0,4.0,-3.0,-1.0
1337000,1,3,T,0.0,4.0,-3.0,-1.0
1339000,1,3,T,0.0,4.0,-3.0,-1.0
1362000,1,2,T,0.0,4.0,-3.0,-1.0
1385000,1,2,T,0.0,4.0,-3.0,-1.0
1390000,1,3,C,0.0,4.0,-3.0,-1.0
1393000,1,4,T,0.0,4.0,-3.0,-1.0
1394000,1,2,T,0.0,4.0,-3.0,-1.0
1402000,1,4,T,0.0,4.0,-3.0,-1.0
1404000,1,4,T,0.0,4.0,-3.0,-1.0
1406000,1,3,C,0.0,4.0,-3.0,-1.0
1410000,1,3,T,0.0,4.0,-3.0,-1.0
1413000,1,2,T,0.0,4.0,-3.0,-1.0
1437000,1,3,T,0.0,4.0,-3.0,-1.0
1445000,1,2,T,0.0,4.0,-3.0,-1.0
1460000,1,2,T,0.0,4.0,-3.0,-1.0
1461000,1,3,T,0.0,4.0,-3.0,-1.0
1466000,1,2,T,0.0,4.0,-3.0,-1.0
1469000,1,2,C,0.0,4.0,-3.0,-1.0
1471000,1,3,T,0.0,4.0,-3.0,-1.0
1473000,1,3,T,0.0,4.0,-3.0,-1.0
1489000,1,2,T,0.0,4.0,-3.0,-1.0
1497000,1,3,T,0.0,4.0,-3.0,-1.0
1527000,3,4,T,0.0,5.0,-5.0,0.0
1548000,3,2,T,-2.0,6.0,-6.0,2.0
1565000,1,3,T,-2.0,6.0,-6.0,2.0
1603000,1,2,C,-2.0,6.0,-6.0,2.0
1607000,1,3,C,-2.0,6.0,-6.0,2.0
1614000,1,4,T,-2.0,6.0,-6.0,2.0
1622000,1,3,T,-2.0,6.0,-6.0,2.0
1628000,1,3,T,-2.0,6.0,-6.0,2.0
1640000,2,3,T,0.0,6.0,-6.0,0.0
1641000,1,4,T,0.0,6.0,-6.0,0.0
1646000,1,4,T,0.0,6.0,-6.0,0.0
