count,intransitive,stateMatch,start,end,states,idxs
1,[],1,1545000,1545000,['12'],[1]
1,[],2,1560000,1560000,"['12', '13']",[2]
3,[],3,1566000,1576000,"['12', '31']",[3]
5,[],7,1600000,2938000,"['12', '13', '41']",[4]
1,[],8,3215000,3215000,"['14', '21', '31']",[5]
1,[],7,4471000,4471000,"['12', '13', '41']",[6]
4,[],6,6260000,6806000,"['12', '13', '14']",[7]
4,[],7,7106000,7133000,"['12', '13', '41']",[8]
1,[],6,7135000,7135000,"['12', '13', '14']",[9]
1,[],16,8443000,8443000,"['12', '13', '14', '43']",[10]
109,[],28,8663000,109147000,"['12', '13', '14', '42', '43']","[11, 12, 13, 14, 15, 16, 17, 18, 19]"
6,[],38,111458000,118123000,"['12', '13', '14', '23', '24', '43']",[20]
