count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
4,21,null,[],1,4,1012000,1048000,['21'],"[0, 4, 0, 0]","[4, 0, 0, 0]",[4],"[-1.0, 1.0, 0.0, 0.0]"
1,13,null,[],3,3,1394000,1394000,"['21', '13']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 1]","[0.0, 2.0, -2.0, 0.0]"
3,12,12,[],2,1,1424000,2437000,"['12', '13']","[3, 0, 0, 0]","[0, 3, 0, 0]","[3, 0]","[0.8571428571428573, 0.7142857142857143, -1.5714285714285714, 0.0]"
1,14,null,[],6,1,2463000,2463000,"['12', '13', '14']","[1, 0, 0, 0]","[0, 0, 0, 1]","[0, 0, 1]","[1.857142857142857, 1.2857142857142856, -1.5714285714285714, -1.5714285714285714]"
9,24,null,[],16,5,2470000,3234000,"['12', '13', '14', '24']","[8, 1, 0, 0]","[0, 1, 3, 5]","[1, 3, 4, 1]","[2.5, 2.0, -1.5, -3.0]"
11,21,21,[],17,5,3250000,3374000,"['21', '13', '14', '24']","[5, 6, 0, 0]","[6, 0, 5, 0]","[6, 5, 0, 0]","[1.857142857142857, 2.8571428571428577, -1.7142857142857144, -3.0]"
1,23,null,[],28,10,3381000,3381000,"['21', '13', '14', '24', '23']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 1]","[2.1428571428571423, 3.8571428571428577, -3.0, -3.0]"
7,12,12,[],28,3,3387000,3985000,"['12', '13', '14', '24', '23']","[7, 0, 0, 0]","[0, 7, 0, 0]","[7, 0, 0, 0, 0]","[3.095238095238095, 2.9047619047619047, -3.0, -3.0]"
12,21,21,[],28,10,3997000,5578000,"['21', '13', '14', '24', '23']","[0, 12, 0, 0]","[1, 0, 11, 0]","[1, 0, 0, 0, 11]","[3.0, 3.0, -3.0, -3.0]"
4,34,null,[],38,7,5599000,5798000,"['21', '13', '14', '24', '23', '34']","[3, 0, 1, 0]","[0, 0, 2, 2]","[0, 2, 1, 0, 0, 1]","[4.0, 4.0, -2.0, -6.0]"
2,12,12,[],38,1,5812000,5841000,"['12', '13', '14', '24', '23', '34']","[2, 0, 0, 0]","[0, 1, 1, 0]","[1, 1, 0, 0, 0, 0]","[4.08695652173913, 3.9130434782608696, -2.0, -6.0]"
1,31,31,"[['12', '23', '31']]",40,2,5843000,5843000,"['12', '31', '14', '24', '23', '34']","[0, 0, 1, 0]","[1, 0, 0, 0]","[0, 1, 0, 0, 0, 0]","[3.7792642140468224, 3.9130434782608696, -1.6923076923076925, -6.0]"
1,13,13,[],38,1,5847000,5847000,"['12', '13', '14', '24', '23', '34']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]","[3.801242236024845, 3.913043478260869, -1.7142857142857144, -6.0]"
9,21,21,[],38,7,5848000,5873000,"['21', '13', '14', '24', '23', '34']","[4, 5, 0, 0]","[4, 0, 5, 0]","[4, 4, 0, 0, 1, 0]","[3.555555555555555, 4.222222222222221, -1.7777777777777777, -6.0]"
1,12,12,[],38,1,5877000,5877000,"['12', '13', '14', '24', '23', '34']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]","[3.634920634920634, 4.142857142857143, -1.777777777777778, -6.0]"
1,21,21,[],38,7,5899000,5899000,"['21', '13', '14', '24', '23', '34']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[3.5708812260536402, 4.206896551724139, -1.7777777777777777, -6.0]"
1,32,32,"[['13', '21', '32']]",40,5,6158000,6158000,"['21', '13', '14', '24', '32', '34']","[0, 0, 1, 0]","[0, 1, 0, 0]","[0, 0, 0, 0, 1, 0]","[3.5708812260536402, 3.9211822660098514, -1.492063492063492, -6.0]"
5,23,23,[],38,7,6164000,6181000,"['21', '13', '14', '24', '23', '34']","[2, 2, 1, 0]","[0, 0, 4, 1]","[0, 2, 0, 0, 2, 1]","[3.593103448275862, 3.9568965517241383, -1.55, -6.0]"
3,12,12,[],38,1,6187000,6198000,"['12', '13', '14', '24', '23', '34']","[3, 0, 0, 0]","[0, 2, 1, 0]","[2, 1, 0, 0, 0, 0]","[3.7450076804915513, 3.8145161290322585, -1.5595238095238093, -6.0]"
14,21,21,[],38,7,6213000,6590000,"['21', '13', '14', '24', '23', '34']","[9, 5, 0, 0]","[4, 0, 7, 3]","[4, 6, 3, 0, 1, 0]","[3.566137566137566, 4.050420168067227, -1.616557734204793, -6.0]"
2,31,31,[],38,13,6594000,6605000,"['21', '31', '14', '24', '23', '34']","[0, 0, 2, 0]","[2, 0, 0, 0]","[0, 2, 0, 0, 0, 0]","[3.300492610837438, 4.050420168067227, -1.3509127789046653, -6.0]"
1,13,13,[],38,7,6610000,6610000,"['21', '13', '14', '24', '23', '34']","[1, 0, 0, 0]","[0, 0, 1, 0]","[0, 1, 0, 0, 0, 0]","[3.314285714285714, 4.050420168067227, -1.3647058823529414, -6.0]"
45,32,32,"[['13', '21', '32']]",40,5,6614000,11584000,"['21', '13', '14', '24', '32', '34']","[30, 8, 7, 0]","[7, 6, 18, 14]","[7, 18, 12, 1, 6, 1]","[3.1785714285714284, 3.3540372670807455, -0.5326086956521738, -6.0]"
2,12,12,[],38,3,12372000,12403000,"['12', '13', '14', '24', '32', '34']","[2, 0, 0, 0]","[0, 1, 0, 1]","[1, 0, 1, 0, 0, 0]","[3.238372093023255, 3.2942366026289176, -0.5326086956521738, -6.0]"
3,21,21,"[['13', '21', '32']]",40,5,12407000,12420000,"['21', '13', '14', '24', '32', '34']","[2, 1, 0, 0]","[1, 0, 1, 1]","[1, 1, 1, 0, 0, 0]","[3.2096474953617813, 3.3280632411067197, -0.5377107364685003, -6.0]"
1,23,23,[],38,7,12425000,12425000,"['21', '13', '14', '24', '23', '34']","[0, 1, 0, 0]","[0, 0, 1, 0]","[0, 0, 0, 0, 1, 0]","[3.209647495361782, 3.378787878787879, -0.5884353741496595, -6.0]"
20,12,12,[],38,1,12468000,18399000,"['12', '13', '14', '24', '23', '34']","[18, 1, 1, 0]","[0, 7, 8, 5]","[7, 8, 3, 1, 0, 1]","[3.5933952528379765, 3.0294117647058822, -0.6228070175438596, -6.0]"
1,21,21,[],38,7,18402000,18402000,"['21', '13', '14', '24', '23', '34']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[3.5587044534412957, 3.064102564102564, -0.6228070175438596, -6.0]"
2,12,12,[],38,1,18417000,18435000,"['12', '13', '14', '24', '23', '34']","[2, 0, 0, 0]","[0, 2, 0, 0]","[2, 0, 0, 0, 0, 0]","[3.6413255360623786, 2.981481481481482, -0.6228070175438596, -6.0]"
12,21,21,[],38,7,19034000,21700000,"['21', '13', '14', '24', '23', '34']","[0, 12, 0, 0]","[1, 0, 4, 7]","[1, 0, 0, 7, 4, 0]","[3.607655502392344, 3.181818181818182, -0.7894736842105261, -6.0]"
1,12,12,[],38,1,21995000,21995000,"['12', '13', '14', '24', '23', '34']","[1, 0, 0, 0]","[0, 1, 0, 0]","[1, 0, 0, 0, 0, 0]","[3.6466165413533838, 3.142857142857143, -0.7894736842105265, -6.0]"
1,21,21,[],38,7,22008000,22008000,"['21', '13', '14', '24', '23', '34']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[3.6140350877192975, 3.1754385964912277, -0.7894736842105261, -6.0]"
6,12,12,[],38,1,22015000,22577000,"['12', '13', '14', '24', '23', '34']","[6, 0, 0, 0]","[0, 6, 0, 0]","[6, 0, 0, 0, 0, 0]","[3.8212197159565573, 2.9682539682539684, -0.7894736842105261, -6.0]"
3,21,21,[],38,7,22593000,22632000,"['21', '13', '14', '24', '23', '34']","[0, 3, 0, 0]","[1, 0, 2, 0]","[1, 0, 0, 0, 2, 0]","[3.789473684210526, 3.066666666666666, -0.8561403508771932, -6.0]"
8,12,12,[],38,1,22767000,24784000,"['12', '13', '14', '24', '23', '34']","[7, 1, 0, 0]","[0, 4, 2, 2]","[4, 2, 1, 1, 0, 0]","[3.9142572283150545, 2.9490196078431365, -0.8632768361581922, -6.0]"
2,21,21,[],38,7,24790000,24803000,"['21', '13', '14', '24', '23', '34']","[0, 2, 0, 0]","[2, 0, 0, 0]","[2, 0, 0, 0, 0, 0]","[3.853753026634383, 3.0095238095238095, -0.8632768361581924, -6.0]"
12,12,12,[],38,1,24809000,25169000,"['12', '13', '14', '24', '23', '34']","[7, 5, 0, 0]","[0, 4, 0, 8]","[4, 0, 3, 5, 0, 0]","[3.958772331653688, 2.904504504504504, -0.8632768361581924, -6.0]"
1,21,21,[],38,7,25174000,25174000,"['21', '13', '14', '24', '23', '34']","[0, 1, 0, 0]","[1, 0, 0, 0]","[1, 0, 0, 0, 0, 0]","[3.929943502824859, 2.9333333333333336, -0.8632768361581922, -6.0]"
12,12,12,[],38,1,26380000,27910000,"['12', '13', '14', '24', '23', '34']","[8, 4, 0, 0]","[0, 7, 2, 3]","[7, 1, 0, 3, 1, 0]","[4.0926829268292675, 2.8040912667191193, -0.8967741935483868, -6.0]"
3,21,21,[],38,7,27922000,27954000,"['21', '13', '14', '24', '23', '34']","[1, 2, 0, 0]","[1, 0, 0, 2]","[1, 0, 1, 1, 0, 0]","[4.065060240963856, 2.831713952584532, -0.896774193548387, -6.0]"
