start,end,count,Attacker,Victim,1,2,3,4
35716700,35716700,1,3,1,-1.0,0.0,1.0,0.0
35719800,35719800,1,1,3,0.0,0.0,0.0,0.0
36062400,36062400,1,2,3,-0.5,1.5,-1.0,0.0
36095400,36098800,2,1,3,0.25,1.25,-1.5,0.0
36135100,36868600,5,3,4,1.0,2.25,-0.5,-2.75
36930800,36930800,1,3,1,0.3999999999999999,2.4,-0.20000000000000018,-2.6
37013800,37015500,2,4,1,-1.6,2.4,0.19999999999999962,-1.0
37023900,37023900,1,4,3,-1.6,2.2333333333333334,-0.2999999999999998,-0.3333333333333335
37113000,37113000,1,1,4,-0.6000000000000003,2.2333333333333334,-0.30000000000000016,-1.3333333333333337
37115400,37115400,1,4,1,-0.8500000000000003,2.2333333333333334,-0.2999999999999998,-1.083333333333334
37117600,37120300,2,1,4,-0.10000000000000009,2.2333333333333334,-0.29999999999999993,-1.8333333333333337
37205600,38635600,3,2,3,-0.10000000000000009,2.2333333333333334,-0.29999999999999993,-1.8333333333333337
38901900,38901900,1,4,3,-0.10000000000000009,2.1142857142857143,-0.6571428571428568,-1.3571428571428572
38914600,38914600,1,1,3,0.16666666666666674,2.0476190476190474,-0.8571428571428568,-1.3571428571428572
38916700,38916700,1,3,1,-0.2142857142857144,2.142857142857143,-0.5714285714285718,-1.3571428571428572
39045600,39048200,2,3,4,-0.2142857142857142,2.2063492063492065,-0.38095238095238093,-1.6111111111111112
39049600,39288500,2,4,3,-0.2142857142857142,2.0649350649350646,-0.8051948051948056,-1.045454545454545
39453500,39453500,1,1,3,0.0,2.0113636363636362,-0.9659090909090913,-1.0454545454545452
39456100,39458300,2,3,1,-0.5,2.1363636363636362,-0.5909090909090913,-1.0454545454545454
39459800,39659000,3,1,3,-0.03846153846153877,2.020979020979021,-0.9370629370629372,-1.0454545454545452
39726900,39736300,2,1,2,1.9615384615384612,0.13636363636363624,-1.5524475524475525,-0.5454545454545452
