count,new,rev,intransitive,stateMatch,stateVariant,start,end,states,committed,recieved,weights,ranks
1,34,null,[],1,11,36233700,36233700,['34'],"[0, 0, 1, 0]","[0, 0, 0, 1]",[1],"[0.0, 0.0, 1.0, -1.0]"
1,43,43,[],1,12,36236700,36236700,['43'],"[0, 0, 0, 1]","[0, 0, 1, 0]",[1],"[0.0, 0.0, 0.0, 0.0]"
2,12,null,[],5,2,36372600,36374700,"['43', '12']","[2, 0, 0, 0]","[0, 2, 0, 0]","[0, 2]","[1.0, -1.0, 0.0, 0.0]"
4,14,null,[],14,4,36523400,37159200,"['43', '12', '14']","[4, 0, 0, 0]","[0, 2, 0, 2]","[0, 2, 2]","[2.5, -1.0, -0.5, -1.0]"
3,24,null,[],18,24,37928100,38249800,"['43', '12', '14', '24']","[0, 3, 0, 0]","[0, 0, 0, 3]","[0, 0, 0, 3]","[3.5, 0.5, -1.0, -3.0]"
17,23,null,[],31,7,38250900,39598300,"['43', '12', '14', '24', '23']","[0, 17, 0, 0]","[0, 0, 10, 7]","[0, 0, 0, 7, 10]","[4.5, 2.0, -3.0, -3.5]"
10,21,21,[],29,7,39607300,39830900,"['43', '21', '14', '24', '23']","[0, 10, 0, 0]","[2, 0, 3, 5]","[0, 2, 0, 5, 3]","[3.166666666666666, 2.9999999999999996, -2.6666666666666665, -3.5]"
1,12,12,[],31,7,39835500,39835500,"['43', '12', '14', '24', '23']","[1, 0, 0, 0]","[0, 1, 0, 0]","[0, 1, 0, 0, 0]","[3.3571428571428577, 2.8571428571428568, -2.7142857142857144, -3.5]"
69,13,null,[],38,2,40034000,41261500,"['43', '12', '14', '24', '23', '13']","[9, 60, 0, 0]","[0, 6, 43, 20]","[0, 6, 0, 20, 40, 3]","[5.384615384615384, 2.615384615384615, -4.0, -4.0]"
6,21,21,[],38,8,41477700,41664500,"['43', '21', '14', '24', '23', '13']","[1, 5, 0, 0]","[1, 0, 1, 4]","[0, 1, 0, 4, 0, 1]","[5.142857142857142, 2.8571428571428577, -4.0, -4.0]"
20,12,12,[],38,2,41765300,46929600,"['43', '12', '14', '24', '23', '13']","[5, 14, 0, 1]","[0, 3, 13, 4]","[1, 3, 1, 3, 11, 1]","[5.294117647058823, 2.7058823529411766, -4.666666666666666, -3.3333333333333335]"
1,41,41,"[['12', '24', '41']]",40,1,46945600,46945600,"['43', '12', '41', '24', '23', '13']","[0, 0, 0, 1]","[1, 0, 0, 0]","[0, 0, 1, 0, 0, 0]","[4.294117647058823, 2.7058823529411766, -4.666666666666666, -2.333333333333333]"
4,14,14,[],38,2,46983800,47624700,"['43', '12', '14', '24', '23', '13']","[3, 1, 0, 0]","[0, 0, 1, 3]","[0, 0, 3, 0, 1, 0]","[4.722689075630252, 2.705882352941177, -4.666666666666666, -2.761904761904762]"
130,34,34,[],38,1,47931300,127460900,"['34', '12', '14', '24', '23', '13']","[50, 71, 9, 0]","[0, 24, 40, 66]","[9, 24, 23, 34, 37, 3]","[5.573983739837399, 2.2926829268292686, -2.6666666666666665, -5.2]"
1,43,43,[],38,2,127517500,127517500,"['43', '12', '14', '24', '23', '13']","[0, 0, 0, 1]","[0, 0, 1, 0]","[1, 0, 0, 0, 0, 0]","[5.573983739837399, 2.2926829268292686, -2.9230769230769234, -4.943589743589744]"
179,34,34,[],38,1,127532400,138745800,"['34', '12', '14', '24', '23', '13']","[40, 72, 67, 0]","[0, 24, 44, 111]","[67, 24, 11, 33, 39, 5]","[5.717823639774859, 2.1846153846153844, -2.1500000000000004, -5.7524390243902435]"
6,42,42,"[['23', '34', '42']]",39,2,138754700,139409600,"['34', '12', '14', '42', '23', '13']","[2, 1, 2, 1]","[0, 3, 1, 2]","[2, 2, 0, 1, 1, 0]","[5.723334546778304, 2.142740841248304, -2.1463414634146343, -5.719733924611973]"
78,24,24,[],38,1,139414400,142376000,"['34', '12', '14', '24', '23', '13']","[25, 47, 6, 0]","[0, 10, 31, 37]","[6, 10, 10, 21, 26, 5]","[5.765724471606825, 2.1253098046991177, -2.1363636363636367, -5.754670639942306]"
