count,intransitive,stateMatch,start,end,states,idxs
2,[],1,36000,40000,['12'],[1]
3,[],3,75000,111000,"['12', '31']",[2]
1,[],10,132000,132000,"['12', '13', '23']",[3]
18,[],16,282000,802000,"['12', '13', '14', '43']",[4]
3,[],20,802000,1079000,"['13', '14', '21', '43']","[5, 6, 7]"
3,[],31,1107000,1141000,"['13', '14', '21', '24', '43']",[8]
1,"[['13', '34', '41']]",34,1172000,1172000,"['13', '14', '21', '42', '43']",[9]
1,[],31,1185000,1185000,"['13', '14', '21', '24', '43']",[10]
41,[],29,1197000,1870000,"['12', '13', '14', '24', '43']",[11]
3,"[['14', '31', '43']]",34,1918000,2270000,"['13', '14', '21', '42', '43']",[12]
2,[],31,3371000,4046000,"['13', '14', '21', '24', '43']","[13, 14]"
4,[],29,4049000,4059000,"['12', '13', '14', '24', '43']",[15]
5,"[['24', '32', '43']]",39,4416000,4424000,"['12', '13', '14', '24', '32', '43']",[16]
1,"[['24', '32', '43'], ['13', '21', '32']]",41,4614000,4614000,"['12', '13', '24', '32', '41', '43']",[17]
15,[],38,4614000,5081000,"['12', '13', '14', '23', '24', '43']","[18, 19]"
14,"[['24', '32', '43']]",39,5088000,5698000,"['12', '13', '14', '24', '32', '43']",[20]
814,[],38,5760000,87195000,"['12', '13', '14', '23', '24', '43']","[21, 22, 23, 24, 25, 26, 27, 28, 29, 30, 31, 32]"
1,"[['24', '32', '43'], ['13', '21', '32']]",41,87234000,87234000,"['12', '13', '24', '32', '41', '43']",[33]
536,[],38,87238000,107735000,"['12', '13', '14', '23', '24', '43']","[34, 35, 36, 37, 38, 39, 40]"
